0,1,2,3
10. NIC Asia Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalent,"27,813.32","20,245.56","29,752.77"
Due from Nepal Rastra Bank,"12,654.49","20,443.34","16,749.17"
Placement with Bank and Financial Institutions,-,-,-
Derivative financial instruments,-,"2,965.53","3,753.03"
Other trading assets,162.82,2.06,2.80
Loan and advances to B/FIs,"14,099.44","9,966.48","10,949.86"
Loans and advances to customers,"252,448.48","261,772.03","271,253.73"
Investment securities,"39,048.16","34,321.04","60,089.19"
Current tax assets,140.56,192.11,"1,194.50"
Investment in subsidiaries,"1,264.50","1,204.50",-
Investment in associates,-,-,622.25
Investment property,722.53,"2,718.43","4,361.67"
Property and equipment,"3,093.07","5,279.76","5,233.06"
Goodwill and Intangible assets,132.65,136.47,180.73
Deferred tax assets,-,-,-
Other assets,"6,989.81","4,841.98","6,325.10"
TOTAL ASSETS,"358,569.84","364,089.29","410,467.84"
Liabilities,"333,726.69","334,698.33","380,948.33"
Due to Bank and Financial Institutions,"6,754.20","3,972.66","8,340.60"
Due to Nepal Rastra Bank,"19,727.76",-,-
Derivative financial instruments,-,"2,962.16","3,746.71"
Deposits from customers,"289,903.96","311,367.92","354,096.86"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,267.77,265.50,238.46
Other liabilities,"6,346.64","5,398.51","3,788.37"
Debt securities issued,"10,726.36","10,731.58","10,737.33"
Subordinated Liabilities,-,-,-
Equity,"24,843.15","29,390.96","29,519.51"
Share capital,"11,564.01","11,564.01","14,917.57"
Share premium,-,-,-
Retained earnings,"3,427.07","3,534.23","(2,666.97)"
Reserves,"9,852.07","14,292.72","17,268.91"
Total liabilities and equity,"358,569.84","364,089.29","410,467.84"
,,,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"32,771.91","38,372.72","38,521.10"
Interest expense,"21,482.31","26,113.90","27,757.85"
Net Interest Income,"11,289.60","12,258.81","10,763.25"
Fees and commission income,"2,369.65","2,712.01","2,285.55"
Fees and commission expense,347.08,389.53,317.50
Net Fee and commission income,"2,022.58","2,322.48","1,968.06"
"Net Interest, Fee and commission income","13,312.18","14,581.29","12,731.31"
Net trading income,200.93,147.04,128.65
Other operating income,304.41,298.39,412.47
Total operating income,"13,817.52","15,026.71","13,272.43"
