0,1,2,3
Due from Nepal Rastra Bank,"6,762.11","13,485.57","8,206.04"
Placement with Bank and Financial Institutions,"3,535.63","2,503.88","3,276.03"
Derivative financial instruments,31.23,29.99,39.77
Other trading assets,95.22,106.14,78.10
Loan and advances to B/FIs,"1,768.83","1,609.91","2,472.71"
Loans and advances to customers,"52,729.58","59,108.54","68,686.15"
Investment securities,"5,923.67","7,005.97","19,820.86"
Current tax assets,26.99,82.87,90.93
Investment in subsidiaries,200.00,220.00,220.00
Investment in associates,-,-,-
Investment property,346.44,367.78,440.34
Property and equipment,"1,502.20","1,541.87","1,470.14"
Goodwill and Intangible assets,20.43,46.05,36.10
Deferred tax assets,6.39,-,-
Other assets,"2,562.48",435.13,760.14
TOTAL ASSETS,"78,124.56","89,722.99","111,592.97"
,,,
Liabilities,"65,676.06","76,626.32","96,135.25"
Due to Bank and Financial Institutions,-,"6,757.60","2,252.57"
Due to Nepal Rastra Bank,745.79,143.21,"3,173.16"
Derivative financial instruments,-,-,-
Deposits from customers,"59,827.53","66,435.05","87,127.87"
Borrowing,329.10,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,1.11,162.80
Other liabilities,"2,780.66","1,295.67","1,424.47"
Debt securities issued,"1,992.98","1,993.68","1,994.38"
Subordinated Liabilities,-,-,-
Equity,"12,448.50","13,096.67","15,457.72"
Share capital,"8,088.30","8,495.81","9,004.82"
Share premium,-,-,0.10
Retained earnings,"1,039.76",841.64,"1,465.82"
Reserves,"3,320.44","3,759.22","4,986.98"
TOTAL EQUITY AND LIABILITIES,"78,124.56","89,722.99","111,592.97"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"6,938.71","7,446.42","6,969.78"
Interest Expenses,"4,024.37","4,601.65","4,334.91"
Net Interest Income,"2,914.33","2,844.77","2,634.87"
Fee and commission income,"1,018.84","1,139.05","1,255.32"
Fee and commission expense,47.93,41.89,55.45
Net Fee and commission income,970.91,"1,097.17","1,199.87"
"Net Interest, Fee and commission income","3,885.24","3,941.93","3,834.74"
Net trading income,228.80,229.05,456.84
Other operating income,93.71,50.71,155.75
Total operating income,"4,207.75","4,221.69","4,447.33"
Impairment charge/(reversal) for loans and other losses,357.49,801.54,(384.99)
Net operating income,"3,850.26","3,420.15","4,832.32"
Personnel expenses,"1,015.22","1,024.47","1,210.45"
Other operating expenses,394.08,436.43,428.85
Depreciation &Amortization,101.42,122.18,137.58
