0,1,2,3
Total operating income,"182,220.63","194,725.45","223,196.86"
Impairment charge/(reversal) for loans and other losses,"12,186.63","12,721.51","50,256.62"
Net operating income,"170,033.99","182,003.94","172,940.24"
Personnel expenses,"52,349.91","56,911.08","56,241.23"
Other operating expenses,"22,471.85","21,265.27","21,150.35"
Depreciation and Amortization,"5,496.32","9,610.76","9,415.45"
Operating Profit,"89,715.92","94,216.82","86,133.21"
Non-operating income,"1,229.07","2,252.89",548.29
Non-operating expense,"1,019.94","1,932.51","4,194.17"
Profit before income tax,"89,925.04","94,537.21","82,487.34"
Income Tax Expense,-,-,"2,275.20"
Current Tax,"26,946.36","29,356.20","28,147.77"
Deferred Tax,420.80,"(1,064.64)","(2,234.89)"
Profit for the period,"62,557.88","66,245.65","56,574.46"
