0,1,2,3
S.No.,Name,Operation Date (A.D.),Head Office
1,Nepal Bank Ltd.,1937/11/15,"Dharmapath, Kathmandu"
2,Agricultural Development Bank Ltd.,1968/01/21,"Ramshahpath, Kathmandu"
3,Nabil Bank Ltd.,1984/07/12,"Beena Marg, Kathmandu"
4,Nepal Investment Bank Ltd.,1986/03/09,"Durbarmarg, Kathmandu"
5,Standard Chartered Bank Nepal Ltd.,1987/02/28,"NayaBaneshwor, Kathmandu"
6,Himalayan Bank Ltd.,1993/01/18,"Kamaladi, Kathmandu"
7,Nepal SBI Bank Ltd.,1993/07/07,"Kesharmahal, Kathmandu"
8,Everest Bank Ltd.,1994/10/18,"Lazimpat , Kathmandu"
9,Kumari Bank Ltd.,2001/04/03,"Tangal, Kathmandu"
10,Laxmi Bank Ltd.,2002/04/03,"Hattisar, Kathmandu"
11,Citizens Bank International Ltd.,2007/04/20,"Narayanhitipath, Kathmandu"
12,Prime Commercial Bank Ltd.,2007/09/24,"Kamalpokhari, Kathmandu"
13,Sunrise Bank Ltd.,2007/10/12,"Gairidhara, Kathmandu"
14,Century Commercial Bank Ltd.,2011/03/10,"Putalisadak , Kathmandu"
15,Sanima Bank Ltd.,2012/02/15,"Naxal, Kathmandu"
16,Machhapuchhre Bank Ltd.,2012/07/09*,"Lazimpat, Kathmandu"
17,NIC Asia Bank Ltd.,2013/06/30*,"Thapathali, Kathmandu"
18,Global IME Bank Ltd.,2019/09/04*,"Kamaladi, Kathmandu"
19,NMB Bank Ltd.,2019/09/28*,"Babarmahal, Kathmandu"
20,Prabhu Bank Ltd.,2016/02/12*,"Babarmahal, Kathmandu"
21,Siddhartha Bank Ltd.,2016/07/21*,"Hattisar, Kathmandu"
22,Bank of Kathmandu Ltd.,2016/07/14*,"Kamalpokhari, Kathmandu"
23,Civil Bank Ltd.,2016/10/17*,"Sundhara, Kathmandu"
24,Nepal Credit and Commerce Bank Ltd.,2017/01/01*,"Bagbazar, Kathmandu"
25,RastriyaBanijya Bank Ltd.,2018/05/02*,"Singhadurbar Plaza, Kathmandu"
26,Mega Bank Nepal Ltd.,2018/05/13*,"Kamaladi, Kathmandu"
,*Joint operation date after merger/acquisition.,,
