0,1,2,3
Impairment charge/(reversal) for loans and other losses,325.45,771.36,282.40
Net operating income,"6,481.63","7,993.65","9,223.08"
Personnel expenses,"2,045.47","2,129.93","2,410.51"
Other operating expenses,592.22,736.67,817.12
Depreciation &Amortisation,293.19,309.48,332.37
Operating Profit,"3,550.75","4,817.57","5,663.07"
Non operating income,-,-,-
Non operating expense,2.51,1.29,-
Profit before income tax,"3,548.24","4,816.28","4,816.28"
Income Tax Expense,,-,-
Current Tax Expenses,"1,055.44","1,447.57","1,945.13"
Deferred Tax (Expenses)/Income,13.40,6.59,14.23
Profit for the period,"2,479.40","3,362.12","3,703.23"
