0,1,2,3
8. Nepal SBI Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,FY 2022-23,FY 2023-24,FY 2024-25
ASSETS,,,
Cash and cash equivalent,"12,235.88","11,217.31","29,687.60"
Due from Nepal Rastra Bank,"8,385.45","9,672.79","8,666.10"
Placement with Bank and Financial Institutions,"5,044.19","2,766.82","17,284.57"
Derivative financial instruments,3.51,1.63,-
Other trading assets,75.93,81.55,89.08
Loan and advances to B/FIs,"5,621.62","6,265.88","6,612.39"
Loans and advances to customers,"116,302.29","125,979.12","134,963.77"
Investment securities,"33,878.74","47,833.06","30,038.22"
Current tax assets,539.77,188.89,290.02
Investment in subsidiaries,188.89,-,188.89
Investment in associates,-,510.04,-
Investment property,-,324.22,931.34
Property and equipment,"2,066.01","2,089.10","1,284.25"
Goodwill and Intangible assets,8.19,9.02,37.39
Deferred tax assets,379.71,443.64,457.03
Other assets,"1,227.97","1,427.50","2,287.35"
TOTAL ASSETS,"185,958.13","208,810.58","232,818.00"
Liabilities,"167,691.43","189,354.64","212,254.45"
Due to Bank and Financial Institutions,"4,009.72","3,730.13","2,408.67"
Due to Nepal Rastra Bank,-,-,-
Derivative financial instruments,-,-,20.87
Deposits from customers,"150,828.38","175,514.86","199,603.44"
Borrowing,"4,017.90",-,-
