0,1,2,3,4,5
Assets Category,Amount (Rs. in billion),,,Percentage Change,
,FY 2020/21,FY 2021/22,FY 2022/23,FY 2021/22,FY 2022/23
Cash and Cash Equivalent,267.71,304.70,289.47,13.82,-5.00
Due from NRB,262.14,209.12,288.71,-20.23,38.06
Placements with BFIs,67.47,37.36,72.56,-44.62,94.23
Loan and Advances to BFIs,151.61,169.45,161.68,11.77,-4.59
Loans and advances to customers,"3,536.05","3,984.00","4,103.89",12.67,3.01
Investment securities,711.32,871.78,973.47,22.56,11.66
Others,226.78,215.16,290.73,-5.12,35.12
Total Assets,"5,223.07","5,791.58","6,180.51",10.88,6.72
