0,1,2,3
Interest Expense,"13,379.78","23,560.75","18,077.64"
Net Interest Income,"5,686.69","12,363.87","10,851.98"
Fee and commission income,"1,214.35","2,454.50","2,707.59"
Fee and commission expense,230.93,465.65,518.89
Net Fee and commission income,983.42,"1,988.85","2,188.69"
"Net Interest, Fee and commission income","6,670.11","14,352.72","13,040.68"
Net trading income,214.11,262.96,520.24
Other operating income,504.77,299.30,599.27
Total operating income,"7,389.00","14,914.98","14,160.19"
Impairment charge/(reversal) for loans and other losses,"1,060.70","3,588.06","1,258.01"
Net operating income,"6,328.30","11,326.92","12,902.18"
Personnel expenses,"1,884.06","4,950.85","4,911.79"
Other operating expenses,821.75,"1,352.02","1,387.83"
Depreciation &Amortization,346.45,622.03,572.14
Operating Profit,"3,276.04","4,402.02","6,030.42"
Non operating income,8.37,212.17,100.41
Non operating expense,240.38,309.51,430.81
Profit before income tax,"3,044.03","4,304.69","5,700.02"
Income Tax Expense,-,-,"1,637.98"
Current Tax,921.72,"1,203.55","1,750.88"
Deferred Tax,(162.92),180.76,(112.91)
Profit for the period,"2,285.24","2,920.38","4,062.04"
