0,1,2,3
Loan and advances to B/FIs,"6,923.29","12,708.08","14,289.46"
Loans and advances to customers,"142,582.77","160,184.31","248,770.35"
Investment securities,"18,152.96","29,317.24","33,293.73"
Current tax assets,-,"3,627.91",297.11
Investment in subsidiaries,"1,204.50","1,264.50","1,264.50"
Investment in associates,-,-,-
Investment property,275.94,496.06,"1,275.46"
Property and equipment,"2,583.72","3,223.64","3,038.16"
Goodwill and Intangible assets,110.49,112.85,91.55
Deferred tax assets,-,-,-
Other assets,"2,166.17","2,994.10","5,480.46"
TOTAL ASSETS,"217,702.26","250,590.38","346,147.52"
,,-,-
Liabilities,"202,736.45","233,348.21","325,243.90"
Due to Bank and Financial Institutions,"8,535.65","9,271.52","13,329.47"
Due to Nepal Rastra Bank,314.54,-,"3,238.62"
Derivative financial instruments,"6,913.41","5,601.04","5,337.92"
Deposits from customers,"176,820.69","201,630.38","287,024.80"
Borrowing,-,-,-
Current Tax Liabilities,240.29,-,-
Provisions,-,-,-
Deferred tax liabilities,209.40,298.13,459.54
Other liabilities,"1,992.37","6,891.49","4,884.18"
Debt securities issued,"7,710.10","9,655.64","10,969.37"
Subordinated Liabilities,-,-,-
Equity,"14,965.81","17,242.17","20,903.62"
Share capital,"8,834.23","9,717.65","11,564.01"
Share premium,-,-,-
Retained earnings,"2,251.12","1,975.81","1,599.55"
Reserves,"3,880.46","5,548.71","7,740.06"
TOTAL EQUITY AND LIABILITIES,"217,702.26","250,590.38","346,147.52"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"19,345.59","20,723.32","23,562.13"
Interest Expenses,"12,385.56","13,118.48","14,334.63"
Net Interest Income,"6,960.03","7,604.83","9,227.50"
Fee and commission income,"2,248.91","2,642.78","1,840.70"
Fee and commission expense,127.60,159.90,216.90
Net Fee and commission income,"2,121.31","2,482.87","1,623.81"
"Net Interest, Fee and commission income","9,081.34","10,087.70","10,851.31"
Net trading income,348.92,339.61,277.78
Other operating income,75.97,255.90,225.28
Total operating income,"9,506.24","10,683.21","11,354.37"
Impairment charge/(reversal) for loans and other losses,590.15,"1,113.71","1,225.62"
Net operating income,"8,916.09","9,569.51","10,128.75"
Personnel expenses,"2,486.79","2,910.17","3,347.94"
Other operating expenses,"1,649.86","1,971.78","1,614.43"
Depreciation &Amortization,204.03,252.74,368.15
Operating Profit,"4,575.41","4,434.83","4,798.23"
Non operating income,28.96,19.85,6.15
Non operating expense,104.16,57.38,158.22
Profit before income tax,"4,500.20","4,397.29","4,646.17"
