0,1,2,3
5. Nepal Investment Mega Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,FY 2022-23,FY 2023-24,FY 2024-25
ASSETS,,,
Cash and cash equivalent,"19,396.68","12,470.53","13,325.36"
Due from Nepal Rastra Bank,"20,554.79","19,133.04","22,293.03"
Placement with Bank and Financial Institutions,"15,824.90","15,453.82","24,934.14"
Derivative financial instruments,55.46,32.47,46.68
Other trading assets,-,-,172.59
Loan and advances to B/FIs,"8,743.54","12,225.97","15,383.65"
Loans and advances to customers,"302,874.15","305,494.82","323,177.81"
Investment securities,"58,977.27","103,529.35","138,556.34"
Current tax assets,995.88,971.50,275.04
Investment in subsidiaries,971.50,141.16,"1,471.50"
Investment in associates,141.16,237.69,141.16
Investment property,"1,164.97","3,016.50","3,684.30"
Property and equipment,"7,386.75","7,720.88","8,306.92"
Goodwill and Intangible assets,"1,120.15","1,104.84","1,085.49"
Deferred tax assets,107.03,"1,650.16","2,410.87"
Other assets,"7,871.28","8,359.01","7,640.18"
TOTAL ASSETS,"446,185.52","491,541.73","562,905.06"
Liabilities,"390,584.89","431,369.28","497,923.01"
Due to Bank and Financial Institutions,"5,810.45","3,390.91","3,943.31"
Due to Nepal Rastra Bank,344.78,-,-
Derivative financial instruments,-,-,-
Deposits from customers,"354,414.42","403,416.96","472,347.47"
Borrowing,"11,803.50","5,334.00","2,744.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"12,211.74","9,187.41","8,848.23"
Debt securities issued,"6,000.00","10,040.00","10,040.00"
Subordinated Liabilities,-,-,-
Equity,"55,600.64","60,172.46","64,982.05"
Share capital,"34,128.59","34,128.59","34,128.59"
