0,1,2,3
Particulars,2017-18,2018-19,2019-20
Share premium,127.16,127.16,-
Retained earnings,941.86,"1,175.25","1,091.29"
Reserves,"2,332.77","2,815.18","3,469.80"
TOTAL EQUITY AND LIABILITIES,"82,782.91","94,610.74","116,631.41"
Interest Income,"7,647.36","9,206.43","10,038.11"
Interest Expenses,"4,776.43","5,621.44","6,160.01"
Net Interest Income,"2,870.93","3,584.99","3,878.10"
Fee and commission income,619.91,782.28,990.03
Fee and commission expense,159.34,120.23,130.26
Net Fee and commission income,460.57,662.05,859.77
"Net Interest, Fee and commission income","3,331.50","4,247.04","4,737.87"
Net trading income,-,264.60,222.77
Other operating income,227.69,64.61,76.96
Total operating income,"3,559.19","4,576.25","5,037.60"
Impairment charge/(reversal) for loans and other losses,48.59,103.52,837.21
Net operating income,"3,510.60","4,472.72","4,200.39"
Personnel expenses,908.49,"1,150.27","1,363.28"
Other operating expenses,442.24,630.40,686.13
Depreciation &Amortization,112.41,141.43,179.16
Operating Profit,"2,047.45","2,550.63","1,971.83"
Non-operating income,68.20,1.18,5.56
Non-operating expense,164.38,45.91,4.87
Profit before income tax,"1,951.27","2,505.89","1,972.51"
Income Tax Expense,-,-,579.63
Current Tax,615.00,762.04,592.28
Deferred Tax,(140.71),37.75,(12.65)
Profit/Loss for the period,"1,476.97","1,706.10","1,392.88"
