0,1,2,3
Other assets,"3,981.29","6,404.96","5,886.22"
Total Assets,"309,987.46","330,242.80","394,021.73"
,,,
Liabilities,"281,313.16","297,563.87","343,283.42"
Due to Bank and Financial Institutions,"2,369.24","4,748.84","1,329.69"
Due to Nepal Rastra Bank,"3,794.08","24,060.74",-
Derivative Financial Instrument,-,-,-
Deposits from customers,"263,836.77","258,144.30","321,654.94"
Borrowings,60.00,60.00,60.00
Current Tax Liabilities,-,-,-
Provisions,436.94,375.72,322.49
Deferred tax liabilities,847.76,320.00,"7,454.99"
Other liabilities,"7,450.91","7,247.15","9,960.72"
Debt securities issued,"2,517.47","2,607.12","2,500.58"
Subordinated Liabilities,-,-,-
,,,
Equity,"28,674.30","32,678.94","50,738.31"
Share Capital,"10,184.89","14,940.36","15,637.38"
Share premium,-,-,-
Retained earnings,"3,453.80","1,863.44",918.41
Reserves,"15,035.60","15,875.14","34,182.52"
,,,
Total Liabilities and Equity,"309,987.46","330,242.80","394,021.73"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"16,229.11","20,689.74","30,272.40"
Interest Expense,"8,019.66","11,393.79","18,456.17"
Net Interest Income,"8,209.45","9,295.95","11,816.23"
Fees and commission income,978.00,"1,019.60","1,091.72"
Fees and commission expense,258.24,349.34,427.22
Net fee and commission income,719.76,670.26,664.50
"Net interest, fee and commission income","8,929.21","9,966.21","12,480.72"
Net trading income,161.28,27.27,(2.85)
Other operating income,633.44,993.97,790.51
Total operating income,"9,723.93","10,987.44","13,268.39"
Impairment charge/(reversal) for loans and other losses,723.38,355.72,"2,608.61"
Net operating income,"9,000.55","10,631.72","10,659.78"
Personnel expenses,"3,031.78","3,200.13","3,967.26"
Other operating expenses,"1,234.09","1,055.09","1,165.72"
Depreciation and Amortization,237.69,559.10,564.54
Operating Profit,"4,496.99","5,817.40","4,962.25"
Non-operating income,391.04,430.43,115.01
Non-operating expense,-,120.78,-
Profit before income tax,"4,888.03","6,127.05","5,077.26"
Income Tax Expense,-,-,-
Current Tax,589.44,"1,499.40",994.19
Deferred Tax,874.96,334.82,487.95
Profit for the period,"3,423.63","4,292.82","3,595.13"
