0,1,2,3
Due to Nepal Rastra Bank,-,-,41.44
Derivative financial instruments,-,-,-
Deposits from customers,"168,842.14","189,236.67","211,500.79"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,5.31,5.31,5.31
Deferred tax liabilities,-,-,-
Other liabilities,"2,927.09","3,960.09","2,835.33"
Debt securities issued,"2,479.85","5,467.79","5,471.23"
Subordinated Liabilities,-,-,-
Equity,"20,963.52","21,574.37","22,947.71"
Share capital,"14,200.97","14,200.97","14,769.01"
Share premium,-,-,-
Retained earnings,846.99,613.24,778.17
Reserves,"5,915.56","6,760.15","7,400.53"
Total Liabilities and Equity,"198,932.61","222,682.23","245,382.97"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"20,660.83","19,719.67","17,360.14"
Interest Expenses,"14,832.33","13,995.85","(10,944.73)"
Net Interest Income,"5,828.50","5,723.82","6,415.41"
Fee and commission income,"1,013.99","1,279.68","1,511.94"
Fee and commission expense,137.21,154.71,(164.89)
Net Fee and commission income,876.78,"1,124.97","1,347.05"
"Net Interest, Fee and commission income","6,705.28","6,848.79","7,762.46"
Net trading income,182.20,156.06,302.73
Other operating income,23.58,52.09,109.66
Total operating income,"6,911.06","7,056.93","8,174.84"
Impairment charge/(reversal) for loans and other losses,"1,216.48","1,725.41","(2,680.01)"
Net operating income,"5,694.58","5,331.53","5,494.84"
Personnel expenses,"1,889.90","1,987.32","(2,035.65)"
Other operating expenses,901.91,949.10,"(1,073.94)"
Depreciation & Amortization,327.43,346.53,(398.32)
Operating Profit,"2,575.34","2,048.58","1,986.92"
Non operating income,20.68,28.52,19.32
