0,1,2,3
17. NIC Asia Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"12,294.51","23,902.66","27,813.32"
Due from Nepal Rastra Bank,"18,721.48","9,072.90","12,654.49"
Placement with Bank and Financial Institutions,-,-,-
Derivative financial instruments,"5,636.25","5,359.38",-
Other trading assets,9.44,11.80,162.82
Loan and advances to B/FIs,"12,708.08","14,289.46","14,099.44"
Loans and advances to customers,"160,184.31","248,770.35","252,448.48"
Investment securities,"29,317.24","33,293.73","39,048.16"
Current tax assets,"3,627.91",297.11,140.56
Investment in subsidiaries,"1,264.50","1,264.50","1,264.50"
Investment in associates,-,-,-
Investment property,496.06,"1,275.46",722.53
Property and equipment,"3,223.64","3,038.16","3,093.07"
Goodwill and Intangible assets,112.85,91.55,132.65
Deferred tax assets,-,-,-
Other assets,"2,994.10","5,480.46","6,989.81"
,,,
Total Assets,"250,590.38","346,147.52","358,569.84"
,-,-,-
Liabilities,"233,348.21","325,243.90","333,726.69"
Due to Bank and Financial Institutions,"9,271.52","13,329.47","6,754.20"
Due to Nepal Rastra Bank,-,"3,238.62","19,727.76"
Derivative financial instruments,"5,601.04","5,337.92",-
Deposits from customers,"201,630.38","287,024.80","289,903.96"
Borrowing,-,-,-
