0,1,2,3,4,5,6,7
9,Everest Bank Limited (EBL),90,95,99,107,122,128
10,Bank of Kathmandu Limited (BOK)2,83,96,99,101,114,0
11,Nepal  Credit and  Commerce  Bank Limited (NCCBL)3,108,129,133,143,170,0
12,NIC Asia Bank Limited (NICA),237,330,424,427,462,466
13,Machhapuchchhre Bank Limited (MBL),88,132,165,168,174,177
14,Kumari Bank Limited (KBL),88,93,186,203,212,350
15,Laxmi Bank Limited (LBL),96,110,126,138,155,158
16,Siddhartha Bank Limited (SBL),121,156,186,189,190,194
17,Agriculture Development Bank (ADBL)*,250,264,268,282,286,287
18,Global IME Bank Limited (GIBL),132,163,294,321,341,429
19,Citizens Bank International Limited (CBIL),79,75,110,190,179,185
20,Prime Commercial Bank Limited (PCBL),63,67,198,186,181,188
21,Sunrise Bank Limited (SRBL),92,118,145,152,153,153
22,NMB Bank Limited (NMB),118,114,172,190,212,212
23,Janata Bank Nepal Limited (JBNL),121,145,-,0,0,0
24,Mega Bank Nepal Limited (MBNL)4,105,121,236,211,233,0
25,Civil Bank Limited (CBL),69,90,115,123,127,128
26,Century Commercial Bank Limited (CCBL)5,103,121,123,136,155,0
27,Sanima Bank Limited (SBL),74,79,88,103,127,130
28,Prabhu Bank Limited (PRVU),164,214,259,276,280,435
,Total,"3,024","3,590","4,436","4,753","5,009","5,045"
