0,1,2,3
17. Agricultural Development Bank,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"11,227.27","11,500.46","8,504.50"
Due from Nepal Rastra Bank,"8,270.67","4,993.66","12,561.91"
Placement with Bank and Financial Institutions,-,"2,858.70","5,007.61"
Derivative financial instruments,-,118.55,133.76
Other trading assets,-,-,37.21
Loan and advances to B/FIs,495.00,"1,285.27","1,149.05"
Loans and advances to customers,"100,030.11","108,806.70","123,052.28"
Investment securities,"12,246.65","16,846.61","24,379.55"
Current tax assets,-,206.42,853.53
Investment in subsidiaries,28.84,28.84,28.84
Investment in associates,69.38,69.38,69.38
Investment property,240.31,258.42,220.93
Property and equipment,"1,213.60","1,264.19","1,292.66"
Goodwill and Intangible assets,50.01,69.40,289.80
Deferred tax assets,-,-,-
Other assets,"1,547.77","3,151.12","1,836.05"
TOTAL ASSETS,"135,419.61","151,457.73","179,417.06"
Due to Bank and Financial Institutions,551.89,478.37,103.13
Due to Nepal Rastra Bank,195.16,38.42,9.67
Derivative financial instruments,-,-,-
Deposits from customers,"104,216.46","118,884.92","143,648.27"
Borrowing,360.45,60.92,12.06
Current Tax Liabilities,156.23,-,-
Provisions,-,-,-
Deferred tax liabilities,139.36,113.54,145.01
Other liabilities,"2,881.77","3,528.83","4,544.83"
Debt securities issued,460.00,-,"2,494.65"
