0,1,2,3
Other trading assets,2.06,2.80,-
Loan and advances to B/FIs,"9,966.48","10,949.86","9,899.21"
Loans and advances to customers,"261,772.03","271,253.73","218,426.69"
Investment securities,"34,321.04","60,089.19","48,569.99"
Current tax assets,192.11,"1,194.50",137.01
Investment in subsidiaries,"1,204.50",-,"1,184.50"
Investment in associates,-,622.25,-
Investment property,"2,718.43","4,361.67","4,639.84"
Property and equipment,"5,279.76","5,233.06","4,471.53"
Goodwill and Intangible assets,136.47,180.73,156.28
Deferred tax assets,-,-,"2,320.25"
Other assets,"4,841.98","6,325.10","4,653.85"
TOTAL ASSETS,"364,089.29","410,467.84","374,848.70"
Liabilities,"334,698.33","380,948.33","349,148.16"
Due to Bank and Financial Institutions,"3,972.66","8,340.60","7,393.95"
Due to Nepal Rastra Bank,-,-,-
Derivative financial instruments,"2,962.16","3,746.71","4,975.25"
Deposits from customers,"311,367.92","354,096.86","319,065.90"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,265.50,238.46,-
Other liabilities,"5,398.51","3,788.37","4,979.90"
Debt securities issued,"10,731.58","10,737.33","12,733.17"
Subordinated Liabilities,-,-,-
Equity,"29,390.96","29,519.51","25,700.54"
Share capital,"11,564.01","14,917.57","14,917.57"
Share premium,-,-,-
Retained earnings,"3,534.23","(2,666.97)","(10,684.28)"
Reserves,"14,292.72","17,268.91","21,467.26"
Total liabilities and equity,"364,089.29","410,467.84","374,848.70"
,,,
STATEMENT OF PROFIT OR LOSS,FY 2022-23,FY 2023-24,FY 2024-25
Interest Income,"38,372.72","38,521.10","28,714.13"
Interest expense,"26,113.90","27,757.85","18,559.98"
