0,1,2,3
Equity,,,
Share capital,5881.40,8233.95,"8,892.68"
Share premium,117.36,151.95,-
Retained earnings,1882.12,773.63,"1,795.54"
Reserves,1470.01,3410.72,"3,878.37"
TOTAL EQUITY AND LIABILITIES,92624.98,112586.17,"133,906.16"
Interest Income,5200.76,8244.60,"10,934.93"
Interest Expenses,2957.64,5426.59,"6,365.00"
Net Interest Income,2243.12,2818.00,"4,569.32"
Fee and commission income,520.12,614.14,731.92
Fee and commission expense,55.04,70.96,72.38
Net Fee and commission income,465.08,543.18,659.55
"Net Interest, Fee and commission income",2708.20,3361.18,"5,228.87"
Net trading income,192.67,341.15,366.92
Other operating income,130.17,54.69,197.66
Total operating income,3031.04,3757.02,"5,793.45"
Impairment charge/(reversal) for loans and other losses,-1503.43,-154.55,84.44
Net operating income,4534.47,3911.58,"5,877.89"
Personnel expenses,1130.09,1348.63,"1,789.21"
Other operating expenses,558.60,617.80,994.46
Depreciation & Amortization,197.96,201.13,226.52
Operating Profit,2647.82,1744.01,"2,867.69"
Non operating income,0.05,6.50,8.71
Non operating expense,349.40,400.06,167.32
Profit before income tax,2298.47,1350.45,"2,709.09"
Income Tax Expense,,,
Current Tax,256.45,288.04,622.95
Deferred Tax,555.52,95.37,35.58
Profit/Loss for the period,1486.50,967.03,"2,050.56"
