0,1,2,3
Particulars,2017-18,2018-19,2019-20
Net Interest Income,"1,970.62","2,914.33","2,844.74"
Fee and commission income,935.87,"1,018.84","1,139.05"
Fee and commission expense,36.99,47.93,41.41
Net Fee and commission income,898.88,970.91,"1,097.64"
"Net Interest, Fee and commission income","2,869.50","3,885.24","3,942.38"
Net trading income,157.89,228.80,229.06
Other operating income,40.25,93.71,50.71
Total operating income,"3,067.63","4,207.75","4,222.15"
Impairment charge/(reversal) for loans and other losses,298.88,357.49,796.48
Net operating income,"2,768.75","3,850.26","3,425.67"
Personnel expenses,755.66,"1,015.22","1,069.02"
Other operating expenses,340.73,394.08,433.91
Depreciation &Amortization,72.28,101.42,122.18
Operating Profit,"1,600.08","2,339.53","1,800.56"
Non-operating income,16.76,25.53,4.28
Non-operating expense,6.70,3.88,44.05
Profit before income tax,"1,610.14","2,361.18","1,760.78"
Income Tax Expense,,,516.20
Current Tax,494.78,708.35,528.24
Deferred Tax,(28.67),33.31,(12.03)
Profit/Loss for the period,"1,144.04","1,619.52","1,244.58"
