0,1,2,3
11.  Machhapuchchhre Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"8,679.17","11,494.02","10,632.39"
Due from Nepal Rastra Bank,"8,908.18","6,047.35","9,309.11"
Placement with Bank and Financial Institutions,477.09,,"-               1,458.31"
Derivative financial instruments,21.85,-,-
Other trading assets,17.41,507.98,489.50
Loans and advances to BFIs,"3,714.54","2,607.54","4,464.24"
Loans and advances to customers,"113,572.01","128,573.15","126,137.68"
Investment securities,"19,603.81","24,127.40","27,418.53"
Current tax assets,419.11,646.42,774.95
Investment in subsidiaries,200.00,200.00,400.00
Investment in associates,-,-,-
Investment property,273.91,244.18,609.94
Property and equipment,"1,474.09","1,583.51","1,582.41"
Goodwill and Intangible assets,126.03,127.06,133.50
Deferred tax assets,35.14,49.25,85.78
Other assets,691.21,"2,519.43","3,077.85"
Total Assets,"158,213.55","178,727.31","186,574.20"
,,,
Liabilities,"145,349.42","164,241.54","170,422.41"
Due to Bank and Financial Institutions,"2,863.54","5,072.84","4,105.07"
Due to Nepal Rastra Bank,"4,159.29","3,612.52",13.00
Derivative Financial Instrument,,-                       1.78,-
Deposits from customers,"131,617.96","145,026.05","154,179.63"
Borrowings,"1,202.31","1,286.24","3,395.00"
