0,1,2,3
2. Rastriya Banijya Bank,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"15,735.16","7,880.10","9,789.49"
Due from Nepal Rastra Bank,"20,128.50","16,423.32","22,675.06"
Placement with Bank and Financial Institutions,-,-,-
Derivative financial instruments,1.50,-,2.73
Other trading assets,-,-,-
Loans and advances to BFIs,"15,434.07","16,533.78","15,633.03"
Loans and advances to customers,"177,870.98","210,183.76","227,308.98"
Investment securities,"71,061.22","65,377.12","76,090.63"
Current tax assets,"3,341.89","3,636.50","4,816.61"
Investment in subsidiaries,200.00,200.00,400.00
Investment in associates,206.11,206.11,809.44
Investment property,124.57,177.27,196.98
Property and equipment,"1,844.29","3,167.48","30,362.09"
Goodwill and Intangible assets,57.87,52.41,50.45
Deferred tax assets,-,-,-
