0,1,2,3
3. Nabil Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"7,167.16","7,952.35","12,479.70"
Due from Nepal Rastra Bank,"5,924.57","7,372.28","6,191.83"
Placement with Bank and Financial Institutions,"20,514.70","10,160.28","11,078.73"
Derivative financial instruments,32.66,-,"8,539.06"
Other trading assets,,-                            -,-
Loan and advances to B/FIs,"3,322.32","4,565.79","6,058.49"
Loans and advances to customers,"89,149.02","109,059.36","127,500.24"
Investment securities,"15,318.13","18,388.08","25,303.07"
Current tax assets,52.98,246.38,137.52
Investment in susidiaries,78.00,78.00,78.00
Investment in associates,40.00,40.00,80.00
Investment property,,-                      8.22,8.22
Property and equipment,790.96,986.26,"1,051.79"
Goodwill and Intangible assets,61.41,50.33,41.40
Deferred tax assets,,-                            -,-
Other assets,"1,565.93","2,070.72","2,590.77"
TOTAL ASSETS,"144,017.86","160,978.07","201,138.82"
Due to Bank and Financial Instituions,"4,504.66","1,168.66","1,419.04"
Due to Nepal Rastra Bank,13.39,32.52,88.47
Derivative financial instruments,,-                    53.84,"8,335.07"
Deposits from customers,"117,436.36","134,810.67","162,953.99"
Borrowing,,-                            -,-
Current Tax Liabilities,,-                            -,-
Provisions,,-                            -,-
Deferred tax liabilities,"1,041.89","1,009.76",851.54
Other liabilities,"4,022.38","3,256.26","4,302.10"
Debt securities issued,300.00,60.00,-
Subordinated Liabilities,,-                            -,-
Equity,,,
Share capital,"8,043.22","8,043.22","9,011.85"
Share premium,0.07,0.07,0.07
Retained earnings,933.25,"3,254.81","3,735.33"
Reserves,"7,722.64","9,288.25","10,441.36"
TOTAL EQUITY AND LIABILITIES,"144,017.86","160,978.07","201,138.82"
Interest Income,8168.87,11349.87,"15,243.80"
Interest Expenses,2606.09,5087.81,"8,084.53"
Net Interest Income,5562.78,6262.06,"7,159.25"
Fee and commission income,950.72,1053.29,"1,291.01"
