0,1,2,3
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,298.13,459.54,267.77
Other liabilities,"6,891.49","4,884.18","6,346.64"
Debt securities issued,"9,655.64","10,969.37","10,726.36"
Subordinated Liabilities,-,-,-
,,,
Equity,"17,242.17","20,903.62","24,843.15"
Share capital,"9,717.65","11,564.01","11,564.01"
Share premium,-,-,-
Retained earnings,"1,975.81","1,599.55","3,427.07"
Reserves,"5,548.71","7,740.06","9,852.07"
,,,
Total Liabilities and Equity,"250,590.38","346,147.52","358,569.84"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"20,723.32","23,562.13","32,771.91"
Interest expense,"13,118.48","14,334.63","21,482.31"
Net Interest Income,"7,604.83","9,227.50","11,289.60"
Fees and commission income,"2,642.78","1,840.70","2,369.65"
Fees and commission expense,159.90,216.90,347.08
Net Fee and commission income,"2,482.87","1,623.81","2,022.58"
"Net Interest, Fee and commission income","10,087.70","10,851.31","13,312.18"
Net trading income,339.61,277.78,200.93
Other operating income,255.90,225.28,304.41
Total operating income,"10,683.21","11,354.37","13,817.52"
Impairment charge/(reversal) for loans and other losses,"1,113.71","1,225.62",865.26
Net operating income,"9,569.51","10,128.75","12,952.26"
Personnel expenses,"2,910.17","3,347.94","4,500.75"
Other operating expense,"1,971.78","1,614.43","2,101.54"
Depreciation & Amortization,252.74,368.15,384.72
Operating Profit,"4,434.83","4,798.23","5,965.25"
Non-operating income,19.85,6.15,62.03
Non-operating expense,57.38,158.22,31.07
Profit before income tax,"4,397.29","4,646.17","5,996.20"
Income Tax Expense,-,,-
Current Tax,"1,268.43","1,388.70","1,793.28"
Deferred Tax,30.32,(1.47),(12.00)
Profit for the Period,"3,098.54","3,258.93","4,214.93"
