0,1,2,3
19. Prabhu Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,2021-22,2022-23,2023-24
ASSETS,,,
Cash and cash equivalents,"7,664.02","10,033.58","8,089.84"
Due from Nepal Rastra Bank,"13,514.39","10,670.24","15,285.13"
Placement with Bank and Financial Institutions,12.80,-,346.13
Derivative financial instruments,"1,523.80","2,304.45",261.46
Other trading assets,124.28,193.25,202.23
Loans and Advances to BFIs,"6,411.86","6,975.49","8,660.30"
Loans and advances to customers,"145,381.57","234,154.90","221,045.60"
Investment securities,"49,700.75","69,573.75","93,329.98"
Current tax assets,109.06,130.01,795.73
Investment in Subsidiaries,524.23,795.73,-
Investment in associates,-,27.50,-
Investment property,458.75,445.35,789.75
Property and equipment,"3,545.39","4,875.63","4,603.37"
Goodwill and Intangible assets,115.16,357.56,323.27
Deferred tax assets,458.99,824.25,324.46
Other assets,"3,207.95","6,614.70","7,061.46"
TOTAL ASSETS,"232,753.00","347,976.38","361,118.71"
Liabilities,"213,605.25","316,624.19","328,479.00"
Due to Bank and Financial Institutions,"4,308.72","8,003.04","7,216.24"
Due to Nepal Rastra Bank,"16,083.28",159.74,0.95
Derivative financial instruments,"1,516.66","2,308.72",259.96
Deposits from customers,"178,652.18","289,090.93","305,012.85"
Borrowings,-,657.50,668.25
Current Tax Liabilities,-,-,60.16
Provisions,23.32,97.68,105.68
Deferred tax liabilities,-,-,-
Other liabilities,"7,383.32","8,467.63","7,314.66"
Debt securities issued,"5,637.77","7,838.95","7,840.25"
Subordinated Liabilities,-,-,-
Equity,"19,147.75","31,352.20","32,639.71"
Share Capital,"12,708.70","23,542.49","23,542.49"
Share premium,-,-,-
Retained earnings,"1,032.97","(2,236.38)","(3,025.53)"
Reserves,"5,406.07","10,046.08","12,122.75"
Total Liabilities and Equity,"232,753.00","347,976.38","361,118.71"
,,-,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest Income,"17,030.03","29,892.78","31,899.38"
Interest Expense,"11,287.22","19,826.34","20,008.48"
Net Interest Income,"5,742.81","10,066.44","11,890.89"
Fee and commission income,"1,376.88","1,678.82","2,009.14"
Fee and commission expense,83.64,86.23,98.64
Net Fee and commission income,"1,293.25","1,592.59","1,910.50"
"Net Interest, Fee and Commission Income","7,036.06","11,659.04","13,801.40"
Net trading income,249.47,281.31,384.55
