0,1,2,3
Investment securities,"2,499.58","5,272.29","9,034.80"
Current tax assets,-,-,33.43
Investment in susidiaries,-,200.00,200.00
Investment in associates,30.01,43.61,43.61
Investment property,87.39,86.89,178.49
Property and equipment,793.92,869.29,"1,291.73"
Goodwill and Intangible assets,41.38,68.59,105.20
Deferred tax assets,-,34.84,64.54
Other assets,416.47,619.68,752.89
TOTAL ASSETS,"58,460.15","71,234.98","94,470.71"
Due to Bank and Financial Institutions,"3,655.93","1,946.56","5,610.47"
Due to Nepal Rastra Bank,-,207.10,"1,320.25"
Derivative financial instruments,-,10.98,-
Deposits from customers,"45,001.72","58,329.72","75,076.95"
Borrowing,-,-,-
Current Tax Liabilities,7.07,23.90,-
Provisions,-,-,-
Deferred tax liabilities,68.23,-,-
Other liabilities,695.71,681.13,"1,779.10"
Debt securities issued,-,-,-
Subordinated Liabilities,-,-,-
Equity,,,
Share capital,"6,993.69","8,000.79","8,000.79"
Share premium,185.02,-,-
Retained earnings,"1,089.64",686.06,978.65
Reserves,763.15,"1,348.73","1,704.50"
TOTAL EQUITY AND LIABILITIES,"58,460.15","71,234.98","94,470.71"
Interest Income,3144.36,6611.08,"8,611.79"
Interest Expenses,1699.23,4208.61,"5,209.93"
Net Interest Income,1445.13,2402.47,"3,401.85"
Fee and commission income,216.72,404.34,607.73
Fee and commission expense,39.81,32.44,50.93
Net Fee and commission income,176.91,371.90,556.80
"Net Interest, Fee and commission income",1622.04,2774.37,"3,958.66"
Net trading income,70.99,110.50,229.44
Other operating income,-1.68,69.97,64.90
Total operating income,1691.36,2954.84,"4,252.18"
Impairment charge/(reversal) for loans and other losses,-282.43,142.72,188.48
Net operating income,1973.78,2812.12,"4,063.70"
