0,1,2,3
Loan and advances to B/FIs,"2,140.93","2,373.90","2,227.27"
Loans and advances to customers,"57,089.33","58,152.21","78,078.29"
Investment securities,"5,060.14","6,821.38","12,356.26"
Current tax assets,263.12,130.03,258.29
Investment in subsidiaries,171.50,171.50,171.50
Investment in associates,27.50,27.50,27.50
Investment property,17.66,17.66,17.66
Property and equipment,620.72,632.84,628.08
Goodwill and Intangible assets,13.73,11.94,12.04
Deferred tax assets,25.84,9.84,55.92
Other assets,929.20,"1,245.91","1,542.03"
TOTAL ASSETS,"78,308.62","83,088.59","111,628.20"
,,-,-
Liabilities,"68,316.31","72,523.05","100,717.31"
Due to Bank and Financial Institutions,"5,212.10","5,053.84","3,500.21"
Due to Nepal Rastra Bank,834.59,417.14,"1,994.80"
Derivative financial instruments,37.54,157.11,241.16
Deposits from customers,"60,276.50","65,314.89","93,496.63"
Borrowing,800.00,-,-
Current Tax Liabilities,-,-,-
Provisions,51.04,88.67,86.74
Deferred tax liabilities,-,-,-
Other liabilities,"1,104.54","1,491.40","1,397.77"
Debt securities issued,-,-,-
Subordinated Liabilities,-,-,-
Equity,"9,992.31","10,565.54","10,910.89"
Share capital,"8,415.47","8,415.47","9,034.43"
Share premium,34.37,34.37,-
Retained earnings,533.85,926.59,551.80
Reserves,"1,008.62","1,189.11","1,324.66"
TOTAL EQUITY AND LIABILITIES,"78,308.62","83,088.59","111,628.20"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"7,888.55","7,845.89","7,608.42"
Interest Expenses,"5,296.51","5,150.65","5,176.09"
Net Interest Income,"2,592.04","2,695.24","2,432.33"
Fee and commission income,352.03,274.27,413.97
Fee and commission expense,29.48,25.40,35.80
Net Fee and commission income,322.55,248.87,378.17
"Net Interest, Fee and commission income","2,914.59","2,944.11","2,810.50"
Net trading income,180.42,174.50,176.56
Other operating income,36.36,54.74,67.03
Total operating income,"3,131.37","3,173.35","3,054.09"
Impairment charge/(reversal) for loans and other losses,574.32,422.71,638.57
