0,1,2
17,"Circular 06 (A,B,C) – Ammendment/Addition in Unified Directives, 2080.",2027.01.09
18,"Circular 05 (Infrastructure) – Amendment/Addition in Unified Directives for Infrastructure Development Bank, 2080",2025.01.09
19,"Circular  05 (D) -  Amendment/Addition in  Unified  Directives for Microfinance FIs, 2079",2025.01.09
20,"Circular 07 (A,B,C) – Issuance of Unified Directives, 2081.",2025.01.13
21,"Circular 06 (Infrastructure) – Issuance of  Unified  Directives for Infrastructure Development Bank, 2081",2025.01.13
22,"Circular 06 (D) – Issuance of Unified Directives for Microfinance FIs, 2081",2025.01.13
23,"Circular 01(EPF, CIT, SSF)- Provisions for Employees Provident Fund and Citizens Investment Fund relating to prevention of money laundering and financing of Terrorism.",2025.02.25
24,"Circular 08 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.02.25
25,"Circular 09 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.03.03
26,"Circular  07 (D)  –  Ammendment/Addition in  Unified  Directives for Microfinance FIs, 2081",2025.03.03
27,"Circular 10 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.03.17
28,"Circular 11 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.04.09
29,"Circular 12 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.05.28
30,"Circular 13 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.06.23
31,"Circular 07 (Infrastructure) – Ammendment/Addition in Unified Directives for Infrastructure Development Bank, 2081",2025.06.23
32,"Circular 14 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.07.10
33,"Circular  08 (D)  –  Ammendment/Addition in  Unified  Directives for Microfinance FIs, 2081",2025.07.10
34,"Circular 15 (A,B,C) – Ammendment/Addition in Unified Directives, 2081.",2025.07.16
