0,1,2,3
1. Nepal Bank Limited,Amt. in Rs. Million,,
,2016-17,2017-18,2018-19
Cash and cash equivalent,"5,489.37","5,780.88","10,418.97"
Due from Nepal Rastra Bank,"13,388.54","6,283.66","10,178.32"
Placement with Bank and Financial Institutions,"3,074.02","2,965.49","5,427.68"
Derivative financial instruments,40.72,18.63,"5,594.62"
Other trading assets,,-                         -,-
Loan and advances to B/FIs,"2,167.57","2,739.47","3,303.28"
Loans and advances to customers,"71,018.22","75,556.51","92,421.64"
Investment securities,"16,119.50","16,247.77","16,425.73"
Current tax assets,590.47,521.83,991.50
Investment in susidiaries,,-                         -,-
Investment in associates,,-                         -,-
Investment property,120.18,87.01,113.31
Property and equipment,"11,546.83","11,638.33","11,828.22"
Goodwill and Intangible assets,16.80,14.24,25.99
Deferred tax assets,,-                         -,-
Other assets,"6,653.91","11,613.37","14,786.38"
TOTAL ASSETS,130226.1188,133467.201,"171,515.65"
Due to Bank and Financial Instituions,115.21,290.65,"1,074.50"
Due to Nepal Rastra Bank,,-                  34.52,41.84
Derivative financial instruments,,-                         -,"5,504.43"
Deposits from customers,"89,294.81","99,540.73","117,200.79"
Borrowing,,-                109.50,950.00
Current Tax Liabilities,,-                         -,-
Provisions,161.84,63.28,131.44
Deferred tax liabilities,"4,323.86","3,226.45","3,650.97"
Other liabilities,"8,727.40","7,230.07","13,680.34"
Debt securities issued,,-                         -,-
Subordinated Liabilities,,-                         -,-
Equity,,,
Share capital,"8,042.66","8,042.66","9,811.15"
Share premium,132.84,132.84,"3,262.81"
Retained earnings,"(2,234.91)",(437.19),"2,895.69"
Reserves,"17,133.45","15,233.69","13,311.68"
TOTAL EQUITY AND LIABILITIES,"130,226.12","133,467.20","171,515.65"
Interest Income,7431.93,9229.44,"10,375.69"
Interest Expenses,1728.36,2841.69,"4,186.15"
