0,1,2,3
Personnel expenses,"4,234.42","4,782.11","4,691.56"
Other operating expenses,"1,875.36","2,245.00","2,493.81"
Depreciation &Amortization,790.77,991.25,854.03
Operating Profit,"9,530.50","9,018.96","7,233.17"
Non operating income,8.53,7.34,29.78
Non operating expense,273.50,158.91,16.32
Profit before income tax,"9,265.52","8,867.39","7,246.64"
Income Tax Expense,-,-,
Current Tax,"2,788.10","2,355.22","2,628.67"
Deferred Tax,(216.94),374.71,(458.34)
Profit/Loss for the period,"6,694.36","6,137.45","5,076.30"
