0,1,2,3,4
S.N.,Loan Products,Percent of Total Loan (mid-July),,
,,FY2022/23,FY 2023/24,FY 2024/25
1,Term Loan,32.19,37.32,36.59
2,Overdraft,3.80,2.01,1.75
3,Cash Credit,11.44,12.87,11.79
4,Trust Receipt Loan/Import Loan,1.70,1.81,2.52
5,Demand and Other Working Capital Loan,19.68,15.53,16.18
6,Personal Residential Home Loan,6.47,6.92,6.69
7,Real Estate Loan,5.05,4.92,4.65
8,Margin Nature Loan,1.36,1.54,2.35
9,Hire Purchase Loan,3.20,2.34,2.28
10,Deprived Sector Loan,6.08,5.85,5.17
11,Bills Purchased,0.10,0.17,0.25
12,Other Product,8.92,8.73,9.77
,Total,100,100,100
