0,1,2,3,4,5,6,7
S.N.,Name of Bank,Mid-July 2020 (in Percent),,Mid-July 2021 (in Percent),,Mid-July 2022 (in Percent),
,,Core Capital,Total Capital Fund,Core Capital,Total Capital Fund,Core Capital,Total Capital Fund
1,Nepal Bank Ltd.,15.93,16.68,14.64,17.91,12.09,15.04
2,RastriyaBanijya Bank Ltd.,12.00,12.68,11.90,14.31,11.63,13.97
3,Nabil Bank Ltd.,10.69,12.81,10.82,12.69,10.89,13.44
4,Nepal Investment Bank Ltd.,11.52,13.23,11.03,14.64,12.41,15.99
5,Standard Chartered Bank Nepal Ltd.,16.92,18.54,15.53,17.17,14.45,16
6,Himalayan Bank Ltd.,11.76,14.89,11.16,13.85,10.45,11.63
7,Nepal SBI Bank Ltd.,12.28,15.42,11.09,13.93,10.44,13.32
8,Nepal Bangladesh Bank Ltd.*,10.45,13.17,11.04,13.94,-,-
9,Everest Bank Ltd.,11.86,13.32,11.26,12.51,10.84,11.95
10,Bank of Kathmandu Ltd.,13.27,14.16,11.73,14.02,11.93,12.94
11,Nepal  Credit and  Commerce Bank Ltd.,12.38,13.40,10.35,13.8,9.2,12.12
12,NIC Asia Bank Ltd.,8.18,13.16,7.51,12.41,8.93,13.51
13,Machhapuchchhre Bank Ltd.,9.54,13.00,8.64,12,8.81,13.47
14,Kumari Bank Ltd.,11.13,14.42,10.53,13.69,10.01,12.98
15,Laxmi Bank Ltd.,10.02,12.62,9.27,11.85,9.09,12.76
16,Siddhartha Bank Ltd.,9.06,12.97,8.56,13.45,9.14,13.09
17,Agricultural Development Bank Ltd.,17.63,20.46,14.76,23.31,14.02,16.34
18,Global IME Bank Ltd.,10.96,12.41,10.52,13.17,10.3,12.72
19,Citizens Bank International Ltd.,12.10,15.45,11.24,13.89,10.73,13.02
20,Prime Commercial Bank Ltd.,12.71,13.40,12.58,15.1,12.26,13.13
21,Sunrise Bank Ltd.,10.21,14.60,9.79,13.75,9.18,12.45
22,NMB Bank Ltd.,12.51,14.56,11.4,15.09,10.53,13.76
23,Prabhu Bank Ltd.,9.76,11.59,8.66,13.07,8.9,13.16
24,Mega Bank Nepal Ltd.,12.02,12.88,11.8,12.98,11.2,12.32
25,Civil Bank Ltd.,13.83,15.00,10.75,11.93,11.76,16.05
26,Century Commercial Bank Ltd.,13.80,14.53,11.18,12.34,10.4,13.54
27,Sanima Bank Ltd.,10.33,12.97,9.21,13.54,9.66,13.75
