0,1,2,3
20. Prabhu Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalents,"8,446.07","8,371.90","7,664.02"
Due from Nepal Rastra Bank,"20,184.42","16,537.18","13,514.39"
Placement with Bank and Financial Institutions,-,595.75,12.80
Derivative financial instruments,"5,353.76","6,116.14","1,523.80"
Other trading assets,-,237.86,124.28
Loans and Advances to BFIs,"3,897.66","7,362.45","6,411.86"
Loans and advances to customers,"99,397.72","135,117.77","145,381.57"
Investment securities,"20,318.13","33,356.50","49,700.75"
Current tax assets,156.81,159.31,109.06
Investment in Subsidiaries,524.23,524.23,524.23
Investment in associates,-,-,-
Investment property,512.41,349.03,458.75
Property and equipment,"2,358.89","2,305.37","3,545.39"
Goodwill and Intangible assets,180.22,143.71,115.16
