0,1,2,3
19. Global IME Bank Limited,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"11,531.56","20,083.66","15,593.94"
Due from Nepal Rastra Bank,"5,217.31","11,775.49","25,336.11"
Placement with Bank and Financial Institutions,-,-,-
Derivative financial instruments,"4,112.52","8,876.12","5,663.65"
Other trading assets,-,-,-
Loan and advances to B/FIs,"4,054.63","7,672.04","10,367.18"
Loans and advances to customers,"108,977.61","190,336.85","228,651.43"
Investment securities,"13,153.15","26,401.40","48,901.73"
Current tax assets,"1,259.70","1,639.87","2,232.79"
Investment in subsidiaries,219.78,557.10,370.70
Investment in associates,319.58,404.22,644.19
Investment property,118.69,335.30,354.65
Property and equipment,"1,373.57","2,543.21","3,252.01"
Goodwill and Intangible assets,28.29,240.27,239.74
Deferred tax assets,212.08,281.57,279.39
Other assets,"1,075.10","2,729.48","3,535.75"
TOTAL ASSETS,"151,653.57","273,876.59","345,423.26"
,,,
Liabilities,"135,321.39","245,042.19","312,702.84"
Due to Bank and Financial Institutions,"4,410.88","14,327.70","14,914.79"
Due to Nepal Rastra Bank,"1,231.80","1,339.36","10,894.00"
Derivative financial instruments,"3,879.90","8,773.44","5,440.37"
Deposits from customers,"120,088.44","212,315.39","268,433.79"
Borrowing,-,"2,404.00","2,371.77"
Current Tax Liabilities,"1,202.57","1,294.60","1,845.21"
Provisions,-,-,-
Deferred tax liabilities,-,-,-
Other liabilities,"3,011.35","3,090.64","4,310.91"
Debt securities issued,"1,496.45","1,497.06","4,492.00"
Subordinated Liabilities,-,-,-
Equity,"16,332.18","28,834.40","32,720.42"
Share capital,"10,310.52","18,975.88","21,632.50"
Share premium,-,5.39,-
Retained earnings,"2,663.62","1,673.61","2,990.20"
Reserves,"3,358.04","8,179.51","8,097.71"
TOTAL EQUITY AND LIABILITIES,"151,653.57","273,876.59","345,423.26"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"13,530.88","20,489.40","21,693.58"
Interest Expenses,"8,288.54","12,267.39","12,554.46"
Net Interest Income,"5,242.35","8,222.01","9,139.13"
Fee and commission income,"1,181.10","1,472.14","1,914.29"
Fee and commission expense,216.43,242.01,380.25
