0,1,2,3
25. RastriyaBanijya Bank Ltd.,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"7,093.86","15,735.16","7,880.10"
Due from Nepal Rastra Bank,"17,934.76","20,128.50","16,423.32"
Placement with Bank and Financial Institutions,48.12,-,-
Derivative financial instruments,,-                    1.50,-
Other trading assets,-,-,-
Loan and advances to B/FIs,"4,456.75","15,434.07","16,533.78"
Loans and advances to customers,"150,797.85","177,870.98","210,183.76"
Investment securities,"74,769.66","71,061.22","65,377.12"
Current tax assets,"2,648.12","3,341.89","3,636.50"
Investment in subsidiaries,200.00,200.00,200.00
Investment in associates,97.86,206.11,206.11
Investment property,109.38,124.57,177.27
Property and equipment,"1,555.72","1,844.29","3,167.48"
Goodwill and Intangible assets,42.89,57.87,52.41
Deferred tax assets,647.03,-,-
Other assets,"6,364.26","3,981.29","6,404.96"
,,,
Total Assets,"266,766.26","309,987.46","330,242.80"
,,,-
Liabilities,"243,736.72","281,313.16","297,563.87"
Due to Bank and Financial Institution,"2,278.45","2,369.24","4,748.84"
Due to Nepal Rastra Bank,281.07,"3,794.08","24,060.74"
Derivative financial instruments,-,-,-
Deposits from customers,"230,902.64","263,836.77","258,144.30"
