0,1,2,3,4
SN,Sector,% of Total Loan (mid-July),,
,,2019,2020,2021
1,Agriculture Forest,5.26,5.75,6.52
2,Fishery,0.14,0.16,0.21
3,Mining,0.28,0.21,0.22
4,"Agriculture, Forestry & Beverage Prod. Related",5.66,5.43,5.48
5,Non-food Production Related,13.7,13.17,12.32
7,Construction,10.06,10.16,9.56
8,"Power, Gas and Water",4.79,5.40,5.45
9,"Metal Products, Machineries, Elec. and Installation",1.29,1.48,1.61
10,"Transport, Warehousing and Communication",2.55,2.60,2.12
11,Wholesalers and Retailers,22.06,20.84,20.55
12,"Finance, Insurance and Real Estate",8.03,7.66,7.74
13,Hotel and Restaurant,4.24,4.61,4.44
14,Other Services,4.38,4.73,4.40
15,Consumable Loans,5.5,4.75,5.52
16,Local Government,0.06,0.05,0.04
17,Others,12,12.99,13.82
,Total Loan,100,100,100
