0,1,2,3
2. Agricultural Development Bank Ltd.,Amount (Rs. in Million),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"8,489.43","10,636.73","6,559.90"
Due from Nepal Rastra Bank,"12,567.11","9,740.61","6,208.95"
Placement with Bank and Financial Institutions,"5,007.61","4,117.58",127.90
Derivative financial instruments,133.76,70.86,103.88
Other trading assets,17.42,"1,666.53","1,047.49"
Loan and advances to B/FIs,"1,137.56",113.67,"4,123.68"
Loans and advances to customers,"121,849.39","150,598.36","173,314.97"
Investment securities,"24,422.06","37,880.07","45,922.12"
Current tax assets,897.72,"1,214.56",966.32
Investment in subsidiaries,28.84,28.84,28.84
Investment in associates,69.38,69.38,69.38
