0,1,2,3,4,5
Assets Category,Amount (Rs. in billion),,,Percentage Change,
,FY 2021/22,FY 2022/23,FY 2023-24,FY 2022/23,FY 2023/24
Cash and Cash Equivalent,299.30,289.47,342.42,-3.28%,18.29%
Due from NRB,203.55,288.71,359.74,41.83%,24.60%
Placements with BFIs,35.29,72.56,80.28,105.64%,10.63%
Loan and Advances to BFIs,167.02,161.68,165.45,-3.20%,2.33%
Loans and advances to customers,"3,880.42","4,103.89","4,326.41",5.76%,5.42%
Investment securities,852.94,973.47,"1,286.82",14.13%,32.19%
Others,212.15,290.73,334.36,37.04%,15.01%
Total Assets,"5,650.67","6,180.51","6,895.47",9.38%,11.57%
