0,1,2,3
2. Agricultural Development Bank Ltd.,Amount in Rs. Million,,
Statement of Financial Position,2018-19,2019-20,2020-21
ASSETS,,,
Cash and cash equivalent,"11,500.46","8,489.43","10,636.73"
Due from Nepal Rastra Bank,"4,993.66","12,567.11","9,740.61"
Placement with Bank and Financial Institutions,"2,858.70","5,007.61","4,117.58"
Derivative financial instruments,118.55,133.76,70.86
Other trading assets,-,17.42,"1,666.53"
Loan and advances to B/FIs,"1,285.27","1,137.56",113.67
Loans and advances to customers,"108,806.70","121,849.39","150,598.36"
Investment securities,"16,846.61","24,422.06","37,880.07"
Current tax assets,206.42,897.72,"1,214.56"
Investment in subsidiaries,28.84,28.84,28.84
Investment in associates,69.38,69.38,69.38
Investment property,258.42,220.93,198.28
Property and equipment,"1,264.19","1,293.54","1,480.62"
Goodwill and Intangible assets,69.40,289.80,262.01
Deferred tax assets,-,-,-
Other assets,"3,151.12","2,896.29","4,362.25"
TOTAL ASSETS,"151,457.73","179,320.86","222,440.35"
,,-,-
Liabilities,"123,105.00","150,849.64","190,935.23"
Due to Bank and Financial Institutions,478.37,103.13,175.32
Due to Nepal Rastra Bank,38.42,9.67,"8,716.36"
Derivative financial instruments,-,-,-
Deposits from customers,"118,884.92","143,628.52","162,814.93"
Borrowing,60.92,10.94,538.53
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,113.54,177.08,327.59
Other liabilities,"3,528.83","4,425.33","3,886.28"
Debt securities issued,-,"2,494.95","14,476.21"
Subordinated Liabilities,-,-,-
Equity,"28,352.73","28,471.22","31,505.12"
Share capital,"14,448.24","9,556.46","10,989.93"
Share premium,-,"5,432.71","5,432.71"
Retained earnings,"3,422.04","2,273.77","3,654.51"
