0,1,2,3
Particulars,2017-18,2018-19,2019-20
Deferred tax liabilities,2.81,209.40,298.13
Other liabilities,"2,073.78","1,992.37","6,902.32"
Debt securities issued,"3,487.91","7,710.10","9,655.64"
Subordinated Liabilities,-,-,-
Equity,"11,670.46","14,965.81","17,235.54"
Share capital,"8,031.12","8,834.23","9,717.65"
Share premium,-,-,-
Retained earnings,943.65,"2,251.12","1,693.78"
Reserves,"2,695.68","3,880.46","5,824.11"
TOTAL EQUITY AND LIABILITIES,"170,943.18","217,702.26","251,852.89"
Interest Income,"13,545.82","19,345.59","20,723.32"
Interest Expenses,"9,336.16","12,385.56","13,118.48"
Net Interest Income,"4,209.66","6,960.03","7,604.83"
Fee and commission income,966.15,"2,248.91","2,643.71"
Fee and commission expense,96.50,127.60,159.90
Net Fee and commission income,869.65,"2,121.31","2,483.80"
"Net Interest, Fee and commission income","5,079.31","9,081.34","10,088.63"
Net trading income,195.21,348.92,339.61
Other operating income,83.62,75.97,298.16
Total operating income,"5,358.14","9,506.24","10,726.41"
Impairment charge/(reversal) for loans and other losses,304.83,590.15,"1,120.47"
Net operating income,"5,053.30","8,916.09","9,605.94"
Personnel expenses,"1,782.11","2,486.79","2,913.81"
Other operating expenses,"1,237.09","1,649.86","1,971.78"
Depreciation &Amortization,115.80,204.03,252.74
Operating Profit,"1,918.29","4,575.41","4,467.61"
Non-operating income,2.50,28.96,19.85
Non-operating expense,110.19,104.16,57.38
Profit before income tax,"1,810.60","4,500.20","4,430.08"
Income Tax Expense,,,"1,308.59"
Current Tax,525.43,"1,366.00","1,265.59"
Deferred Tax,(49.68),80.90,43.00
Profit/Loss for the period,"1,334.86","3,053.30","3,121.49"
