0,1,2,3
Interest Income,"5,991.66","9,069.78",11276.81
Interest Expenses,"2,994.48","4,924.81",6571.72
Net Interest Income,"2,997.18","4,144.97",4705.08
Fee and commission income,850.31,912.86,993.64
Fee and commission expense,73.93,84.66,89.92
Net Fee and commission income,776.38,828.20,903.72
"Net Interest, Fee and commission income","3,773.56","4,973.17",5608.8
Net trading income,202.78,233.51,306.27
Other operating income,21.86,42.88,19.29
Total operating income,"3,998.20","5,249.56",5934.36
Impairment charge/(reversal) for loans and other losses,129.46,272.27,146.62
Net operating income,"3,868.74","4,977.29",5787.75
Personnel expenses,957.61,"1,375.42",1618.61
Other operating expenses,577.28,703.07,880.73
Depreciation & Amortisation,113.97,137.13,164.52
Operating Profit,"2,219.88","2,761.67",3123.89
Non operating income,20.91,38.87,196.08
Non operating expense,-,-,3.75
Profit before income tax,"2,240.79","2,800.54",3316.22
Income Tax Expense,,,
Current Tax,686.99,942.06,1072.17
Deferred Tax,(10.89),(165.03),48.48
Profit/Loss for the period,"1,564.69","2,023.51",2292.52
