0,1,2,3
17. Prime Commercial Bank Limited,Amt. in Rs. Million,,
Statement of Financial Position,FY 2022-23,FY 2023-24,FY 2024-25
ASSETS,,,
Cash and Cash Equivalents,"14,305.37","11,435.84","13,558.95"
Due from Nepal Rastra Bank,"12,049.74","9,697.97","19,567.39"
Placement with Bank and Financial Institutions,-,"1,152.69","3,759.76"
Derivative financial instruments,-,-,-
Other trading assets,-,-,-
Loans and Advances to B/FIs,"6,515.73","8,938.36","8,929.93"
Loans and advances to customers,"153,067.87","181,029.57","209,099.21"
Investment securities,"29,067.66","47,583.46","52,379.42"
Current tax assets,458.58,-,15.38
Investment in Subsidiaries,-,46.02,-
Investment in associates,46.02,68.39,46.02
Investment property,"1,413.05","1,911.87","3,943.96"
Property and equipment,"2,055.35","2,007.22","1,936.98"
Goodwill and Intangible assets,371.84,373.92,385.86
Deferred tax assets,270.51,389.16,802.78
Other assets,"1,206.08","2,367.92","2,065.93"
TOTAL ASSETS,"220,827.81","267,002.38","316,491.57"
Liabilities,"193,654.38","236,350.04","283,601.09"
Due to Bank and Financial Institutions,"4,511.66","10,120.80","4,659.81"
Due to Nepal Rastra Bank,-,-,-
Derivative financial instruments,-,-,-
Deposits from customers,"174,058.04","211,160.28","263,360.69"
Borrowing,"2,630.00","2,674.00","2,750.00"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
