0,1,2,3
Derivative financial instruments,"37,733.75","51,406.21","58,133.67"
Deposits from customers,"2,363,753.39","2,906,954.92","3,496,729.98"
Borrowing,"5,697.56","14,300.38","25,973.29"
Current Tax Liabilities,"1,620.58","1,296.95","1,907.67"
Provisions,166.63,285.21,238.10
Deferred tax liabilities,"3,184.82","3,853.09","7,413.52"
Other liabilities,"65,843.99","94,380.46","92,830.56"
Debt securities issued,"27,008.95","49,089.13","78,774.81"
Subordinated Liabilities,-,-,-
Equity,"358,499.81","405,045.10","463,321.52"
Share capital,"218,996.15","248,954.21","282,384.79"
Share premium,"3,445.55","1,508.44",828.19
Retained earnings,"40,599.02","36,730.97","41,222.79"
Reserves,"95,459.14","117,851.48","138,885.77"
TOTAL EQUITY AND LIABILITIES,"2,995,325.78","3,663,222.85","4,467,996.64"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"263,411.41","288,786.28","284,153.81"
Interest Expenses,"159,980.82","179,338.15","172,695.78"
Net Interest Income,"103,437.93","109,448.13","111,458.03"
Fee and commission income,"21,368.85","22,817.95","25,184.84"
Fee and commission expense,"2,196.71","2,346.41","2,796.74"
Net Fee and commission income,"19,172.17","20,471.53","22,388.11"
"Net Interest, Fee and commission income","122,610.09","129,919.66","133,846.13"
Net trading income,"8,999.53","9,040.98","10,245.23"
Other operating income,"2,816.57","3,058.96","10,337.84"
Total operating income,"134,425.40","142,019.60","154,429.20"
Impairment charge/(reversal) for loans and other losses,"3,128.91","14,053.49","9,960.87"
Net operating income,"128,548.89","123,971.62","143,585.00"
Personnel expenses,"33,538.52","36,946.10","43,653.28"
Other operating expenses,"17,188.93","19,234.85","19,292.00"
Depreciation &Amortization,"3,626.95","4,109.36","4,805.77"
Operating Profit,"74,194.46","63,681.31","75,833.95"
Non operating income,"1,419.07",606.73,585.03
Non operating expense,"1,083.24",731.49,"1,016.73"
Profit before income tax,"74,530.32","63,556.55","75,402.25"
Income Tax Expense,-,-,-
Current Tax,"22,799.54","19,519.02","23,736.21"
Deferred Tax,387.75,(38.88),(979.45)
Profit/Loss for the period,"51,683.58","44,076.42","52,645.49"
