0,1,2,3
20.  Sanima Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"4,771.14","5,224.72","5,290.59"
Due from Nepal Rastra Bank,"6,053.73","13,516.14","10,368.10"
Placement with Bank and Financial Institutions,"1,740.71",371.16,"1,056.57"
Derivative financial instruments,16.02,-,-
Other trading assets,224.41,500.75,414.84
Loans and advances to BFIs,"4,094.02","5,167.87","4,445.16"
Loans and advances to customers,"119,071.40","136,518.04","145,424.94"
Investment securities,"20,922.51","26,468.40","41,980.22"
Current tax assets,-,-,54.54
Investment in subsidiaries,250.00,250.00,450.00
Investment in associates,-,-,-
Investment property,-,72.93,190.17
Property and equipment,"1,196.39","1,344.61","1,368.38"
Goodwill and Intangible assets,48.08,88.27,96.08
Deferred tax assets,-,138.05,169.78
Other assets,"2,362.18","2,850.17","4,333.62"
Total Assets,"160,750.58","192,511.09","215,642.99"
,,,
Liabilities,"145,827.17","175,599.92","196,263.56"
Due to Bank and Financial Institutions,"4,920.87","2,614.42","5,091.31"
Due to Nepal Rastra Bank,"3,651.30","4,096.65",72.09
Derivative Financial Instrument,-,52.39,6.05
Deposits from customers,"128,425.87","157,518.54","175,745.25"
Borrowings,"1,787.25","1,279.00","2,629.00"
Current Tax Liabilities,62.45,35.22,-
Provisions,31.37,44.77,34.26
Deferred tax liabilities,42.07,-,-
Other liabilities,"2,134.26","3,146.61","3,311.94"
Debt securities issued,"4,771.72","6,812.32","9,373.67"
Subordinated Liabilities,-,-,-
,,,
Equity,"14,923.41","16,911.17","19,379.43"
Share Capital,"9,681.52","11,327.38","12,460.12"
Share premium,-,-,-
Retained earnings,"1,737.20","1,244.46","2,215.04"
Reserves,"3,504.69","4,339.34","4,704.28"
,,,
Total Liabilities and Equity,"160,750.58","192,511.09","215,642.99"
,,,
Statement of Profit or Loss,2021,2022,2023
,,,
Interest Income,"10,762.83","14,850.22","21,607.17"
Interest Expense,"6,237.84","10,198.45","15,128.55"
Net Interest Income,"4,524.99","4,651.76","6,478.62"
Fees and commission income,875.12,995.91,"1,039.86"
Fees and commission expense,60.96,148.36,242.16
