0,1,2,3
Particulars,2017-18,2018-19,2019-20
Fee and commission income,559.88,568.57,582.24
Fee and commission expense,50.84,67.39,65.88
Net Fee and commission income,509.05,501.18,516.36
"Net Interest, Fee and commission income","2,731.12","3,189.64","3,398.05"
Net trading income,181.07,277.32,270.84
Other operating income,120.70,30.47,99.67
Total operating income,"3,032.89","3,497.43","3,768.56"
Impairment charge/(reversal) for loans and other losses,89.32,138.37,677.30
Net operating income,"2,943.57","3,635.80","3,091.26"
Personnel expenses,784.06,900.24,928.37
Other operating expenses,347.36,464.65,496.38
Depreciation & Amortization,126.53,170.50,211.77
Operating Profit,"1,685.63","2,100.40","1,454.74"
Non-operating income,37.96,77.79,122.57
Non-operating expense,16.72,0.58,-
Profit before income tax,"1,706.87","2,177.61","1,577.31"
Income Tax Expense,-,-,461.27
Current Tax,536.35,776.35,462.85
Deferred Tax,63.59,61.95,(1.58)
Profit/Loss for the period,"1,234.10","1,463.22","1,116.04"
