0,1,2,3
21. Siddhartha Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Assets,,,
Cash and cash equivalent,"5,959.19","5,976.06","7,928.99"
Due from Nepal Rastra Bank,"9,507.95","7,740.64","5,730.45"
Placement with Bank and Financial Institutions,"1,067.07","3,308.71",320.31
Derivative financial instruments,110.72,52.42,19.69
Other trading assets,147.02,-,-
Loan and advances to B/FIs,"4,004.35","6,027.86","6,403.39"
Loans and advances to customers,"123,572.73","158,579.24","178,587.36"
Investment securities,"22,502.83","41,825.29","57,368.16"
Current tax assets,159.62,127.22,221.07
Investment in subsidiaries,51.00,51.00,51.00
Investment in associates,-,-,-
Investment property,136.61,291.04,213.31
Property and equipment,"1,422.34","1,451.93","3,077.07"
Goodwill and Intangible assets,101.99,81.50,71.49
Deferred tax assets,-,-,-
Other assets,"1,841.75","3,429.05","4,334.73"
,,,
Total Assets,"170,585.16","228,941.96","264,327.02"
,-,-,-
Liabilities,"154,573.89","208,540.15","242,729.15"
Due to Bank and Financial Institutions,"6,759.24","7,717.01","7,234.64"
Due to Nepal Rastra Bank,20.05,"5,859.91","24,965.10"
Derivative financial instruments,-,,-                   19.36
Deposits from customers,"139,609.50","180,924.01","191,550.64"
Borrowing,-,,"-              1,022.80"
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,159.22,966.72,239.22
Other liabilities,"2,863.33","4,909.95","6,034.82"
Debt securities issued,"5,162.56","8,162.56","11,662.56"
Subordinated Liabilities,-,-,-
