0,1,2,3
Total operating income,1574.51,2452.79,3131.37
Impairment charge/(reversal) for loans and other losses,-47.61,-38.23,574.32
Net operating income,1526.90,2414.57,2557.04
Personnel expenses,0.00,0.00,854.94
Other operating expenses,-405.08,-651.88,553.54
Depreciation & Amortization,-243.21,-400.77,122.60
Operating Profit,-66.17,-87.97,1025.97
Non operating income,812.45,1273.94,39.30
Non operating expense,0.00,50.68,68.18
Profit before income tax,812.45,1324.62,997.08
Income Tax Expense,,,
Current Tax,-244.28,-402.07,306.75
Deferred Tax,-11.46,-10.27,13.93
Profit/Loss for the period,556.71,912.28,676.41
