0,1,2,3
Reserves,"10,482.45","11,208.28","11,427.96"
TOTAL EQUITY AND LIABILITIES,"151,457.73","179,320.86","222,440.35"
,,-,-
STATEMENT OF PROFIT OR LOSS,,-,-
Interest Income,"15,480.12","15,821.70","15,124.05"
Interest Expenses,"7,865.13","9,105.58","8,258.33"
Net Interest Income,"7,614.99","6,716.12","6,865.72"
Fee and commission income,"1,081.48","1,901.63","1,612.95"
Fee and commission expense,11.01,25.81,46.88
Net Fee and commission income,"1,070.47","1,875.82","1,566.07"
"Net Interest, Fee and commission income","8,685.46","8,591.94","8,431.79"
Net trading income,318.87,392.18,994.30
Other operating income,18.90,35.93,452.41
Total operating income,"9,023.23","9,020.05","9,878.50"
Impairment charge/(reversal) for loans and other losses,(289.85),517.22,121.43
Net operating income,"9,313.08","8,502.83","9,757.07"
Personnel expenses,"2,928.86","3,025.47","3,311.39"
Other operating expenses,876.31,942.16,"1,132.68"
Depreciation &Amortization,166.19,216.59,275.69
Operating Profit,"5,341.72","4,318.60","5,037.32"
Non operating income,382.28,81.28,28.24
Non operating expense,-,0.04,3.21
Profit before income tax,"5,723.99","4,399.85","5,062.34"
Income Tax Expense,,"1,068.11","1,534.81"
Current Tax,"1,565.73","1,027.22","1,344.77"
Deferred Tax,(33.32),40.89,190.04
Profit/Loss for the period,"4,191.59","3,331.74","3,527.54"
