0,1,2,3
Due from Nepal Rastra Bank,"6,037.59","9,507.95","7,740.64"
Placement with Bank and Financial Institutions,"2,250.09","1,067.07","3,308.71"
Derivative financial instruments,124.87,110.72,52.42
Other trading assets,80.73,147.02,-
Loan and advances to B/FIs,"3,395.45","4,004.35","6,027.86"
Loans and advances to customers,"104,768.97","123,572.73","158,579.24"
Investment securities,"18,875.54","22,502.83","41,825.29"
Current tax assets,177.23,159.62,127.22
Investment in subsidiaries,51.00,51.00,51.00
Investment in associates,-,-,-
Investment property,123.35,136.61,291.04
Property and equipment,"1,279.32","1,422.34","1,451.93"
Goodwill and Intangible assets,33.94,101.99,81.50
Deferred tax assets,-,-,-
Other assets,"1,820.60","1,841.75","3,429.05"
TOTAL ASSETS,"144,479.76","170,585.16","228,941.96"
,,-,-
Liabilities,"129,392.29","154,573.89","208,540.15"
Due to Bank and Financial Institutions,"8,422.83","6,759.24","7,717.01"
Due to Nepal Rastra Bank,984.06,20.05,"5,859.91"
Derivative financial instruments,-,-,-
Deposits from customers,"114,904.86","139,609.50","180,924.01"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,-,-,-
Deferred tax liabilities,82.81,159.22,966.72
Other liabilities,"2,030.93","2,863.33","4,909.95"
Debt securities issued,"2,966.80","5,162.56","8,162.56"
Subordinated Liabilities,-,-,-
Equity,"15,088.18","16,011.27","20,401.81"
Share capital,"8,887.60","9,787.77","10,962.30"
Share premium,122.09,-,-
Retained earnings,"1,663.63","1,245.99","1,808.63"
Reserves,"4,414.86","4,977.52","7,630.88"
TOTAL EQUITY AND LIABILITIES,"144,479.76","170,585.16","228,941.96"
,,,
STATEMENT OF PROFIT OR LOSS,2018-19,2019-20,2020-21
Interest Income,"12,971.18","15,432.15","14,949.21"
Interest Expenses,"8,305.21","9,858.01","9,439.00"
Net Interest Income,"4,673.96","5,574.14","5,510.21"
Fee and commission income,"1,016.55","1,073.84","1,337.10"
Fee and commission expense,171.26,151.30,204.49
Net Fee and commission income,845.29,922.53,"1,132.61"
"Net Interest, Fee and commission income","5,519.25","6,496.67","6,642.81"
Net trading income,461.66,511.72,777.64
Other operating income,111.88,161.59,"1,042.36"
Total operating income,"6,092.80","7,169.98","8,462.82"
Impairment charge/(reversal) for loans and other losses,180.59,686.42,793.07
Net operating income,"5,912.20","6,483.55","7,669.75"
Personnel expenses,"1,693.34","2,156.19","2,368.24"
Other operating expenses,762.40,962.77,932.14
Depreciation & Amortization,141.40,196.95,202.64
