0,1,2,3
Other operating income,"1,498.92","1,231.53","1,215.91"
Total operating income,"28,823.64","33,495.46","34,391.03"
Impairment charge/(reversal) for loans and other losses,"2,202.14","5,180.13","4,711.98"
Net operating income,"26,621.50","28,315.33","29,679.05"
Personnel expenses,"9,475.95","11,473.51","12,393.08"
Other operating expenses,"2,715.14","3,078.18","3,256.68"
Depreciation & Amortization,"1,371.15","1,427.54","1,465.83"
Operating Profit,"13,059.27","12,336.10","12,563.47"
Non operating income,737.29,294.02,185.51
Non operating expense,172.33,26.37,53.76
Profit before income tax,"13,624.23","12,603.75","12,695.22"
Income Tax Expense,-,"1,791.47",-
Current Tax,"4,167.75","3,804.71","3,446.08"
Deferred Tax,14.62,442.92,361.61
Profit/Loss for the period,"9,441.87","8,356.12","8,887.53"
