0,1,2,3
16. Siddhartha Bank Limited,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"4,453.21","5,461.07","5,959.21"
Due from Nepal Rastra Bank,"6,454.93","6,037.59","9,507.95"
Placement with Bank and Financial Institutions,"1,611.13","2,250.09","1,067.03"
Derivative financial instruments,3.71,124.87,"11,972.84"
Other trading assets,81.32,80.73,147.02
Loan and advances to B/FIs,"2,841.17","3,395.45","4,004.35"
Loans and advances to customers,"83,236.09","104,768.97","123,448.09"
Investment securities,"18,592.94","18,875.54","22,502.83"
Current tax assets,68.23,177.23,313.26
Investment in subsidiaries,51.00,51.00,51.00
Investment in associates,-,-,-
