0,1,2,3
Investment in associates,-,-,-
Investment property,199.74,177.16,227.98
Property and equipment,244.63,255.89,501.01
Goodwill and Intangible assets,34.53,40.58,38.38
Deferred tax assets,-,-,-
Other assets,341.01,323.87,451.69
TOTAL ASSETS,42299.42,"51,925.23","62,467.74"
Due to Bank and Financial Institutions,"3,449.04",6549.775876,"6,517.06"
Due to Nepal Rastra Bank,3.50,548.723987,531.25
Derivative financial instruments,-,0,"1,673.81"
Deposits from customers,"31,186.20",34222.59701,"41,993.30"
Borrowing,-,0,-
Current Tax Liabilities,-,0,-
Provisions,0.62,1.05925,-
Deferred tax liabilities,164.53,149.02347,155.43
Other liabilities,368.31,604.134374,"1,445.55"
Debt securities issued,,,-
Subordinated Liabilities,,,-
Equity,7127.2108,9849.915247,"10,151.34"
Share capital,"5,185.22","7,259.31","8,003.39"
Share premium,-,36.39,
Retained earnings,"1,214.19","1,069.62",540.23
Reserves,727.80,"1,484.60","1,607.72"
TOTAL EQUITY AND LIABILITIES,42299.42,51925.2292,"62,467.74"
Interest Income,3410.22,4441.86,5727.89
Interest Expenses,2084.87,3033.46,3526.41
Net Interest Income,1325.36,1408.40,2201.47
Fee and commission income,179.96,242.34,221.89
Fee and commission expense,12.53,23.10,24
Net Fee and commission income,167.42,219.24,197.89
"Net Interest, Fee and commission income",1492.78,1627.64,2399.36
Net trading income,86.69,156.58,197.96
Other operating income,47.78,43.15,51.74
Total operating income,1627.25,1827.37,2649.06
Impairment charge/(reversal) for loans and other losses,5.97,-125.83,58.89
Net operating income,1621.28,1953.20,2590.17
Personnel expenses,363.19,558.41,792.92
Other operating expenses,255.71,351.55,556.11
Depreciation & Amortisation,54.30,59.61,66.52
