0,1,2,3
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24
Interest income,"16,703.93","35,126.12","43,153.41"
Interest expense,"10,884.94","22,819.02","28,036.49"
Net interest income,"5,818.99","12,307.10","15,116.92"
Fees and Commission income,"1,592.63","2,096.41","2,332.33"
Fees and Commission expense,319.60,495.05,554.34
Net fee and commission income,"1,273.04","1,601.35","1,777.99"
"Net interest, fee and commission income","7,092.03","13,908.45","16,894.91"
Net trading income,667.25,507.64,469.55
Other operating income,307.97,352.48,408.08
Total Operating Income,"8,067.25","14,768.57","17,772.54"
Impairment charges/(reversals) for loans & other losses,"(1,306.89)","3,200.30","5,111.56"
Net operating income,"9,374.15","11,568.27","12,660.98"
Personnel Expenses,"1,874.39","3,036.30","3,768.83"
Other Operating Expenses,722.55,"1,184.02","1,566.47"
Depreciation and Amortization,487.55,712.32,933.22
Operating profit,"6,289.66","6,635.63","6,392.45"
Non operating income,2.90,2.27,4.37
Non operating expense,904.11,"1,300.82",732.10
Profit before income tax,"5,388.45","5,337.08","5,664.72"
Income tax expense,-,-,-
Current Tax,"1,620.51","2,292.93","3,297.35"
Deferred Tax,(29.66),(676.68),"(1,741.52)"
Profit for the year,"3,797.60","3,720.83","4,108.89"
