0,1,2,3
9. Everest Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"9,163.41","14,024.36","15,378.25"
Due from Nepal Rastra Bank,"28,838.57","11,105.03","13,933.79"
Placement with Bank and Financial Institutions,"2,144.70","2,875.50","5,980.98"
Derivative financial instruments,-,15.77,-
Other trading assets,-,-,-
Loans and advances to BFIs,"7,486.02","9,573.31","8,076.88"
Loans and advances to customers,"127,687.22","145,480.53","159,479.29"
Investment securities,"31,460.03","35,674.34","40,201.73"
Current tax assets,441.08,548.67,520.85
Investment in subsidiaries,-,-,-
Investment in associates,502.32,713.66,727.81
Investment property,2.20,2.20,-
Property and equipment,"2,737.91","3,635.57","3,619.40"
