0,1,2,3
14. Kumari Bank Limited,Rs. in Million,,
Particulars,2017-18,2018-19,2019-20
Cash and cash equivalent,"3,780.64","8,821.14","9,248.39"
Due from Nepal Rastra Bank,"5,582.76","3,580.51","5,914.62"
Placement with Bank and Financial Institutions,714.10,384.38,852.45
Derivative financial instruments,-,143.29,"7,416.21"
Other trading assets,-,-,-
Loan and advances to B/FIs,"1,778.93","3,066.05","3,796.21"
Loans and advances to customers,"60,596.58","73,120.31","111,092.71"
Investment securities,"8,802.90","9,121.57","12,747.00"
Current tax assets,113.78,16.11,327.53
Investment in subsidiaries,200.00,200.00,220.00
Investment in associates,20.00,20.00,130.06
Investment property,134.17,88.42,60.35
Property and equipment,434.30,661.73,"1,274.50"
Goodwill and Intangible assets,110.45,97.39,122.08
Deferred tax assets,-,47.80,140.82
Other assets,454.92,887.97,468.53
TOTAL ASSETS,"82,723.55","100,256.68","153,811.47"
