0,1,2,3
,,,
Equity,"16,011.27","20,401.81","21,597.87"
Share capital,"9,787.77","10,962.30","12,524.43"
Share premium,-,-,-
Retained earnings,"1,245.99","1,808.63","1,359.87"
Reserves,"4,977.52","7,630.88","7,713.58"
,,,
Total Liabilities and Equity,"170,585.16","228,941.96","264,327.02"
,,,
Statement of Profit or Loss,FY 2019/20,FY 2020/21,FY 2021/22
,,,
Interest Income,"15,432.15","14,949.21","20,677.56"
Interest Expenses,"9,858.01","9,439.00","14,080.72"
Net Interest Income,"5,574.14","5,510.21","6,596.85"
Fee and commission income,"1,073.84","1,337.10","1,505.59"
Fee and commission expense,151.30,204.49,285.89
Net Fee and commission income,922.53,"1,132.61","1,219.70"
"Net Interest, Fee and commission income","6,496.67","6,642.81","7,816.55"
Net trading income,511.72,777.64,442.93
Other operating income,161.59,"1,042.36",532.49
Total operating income,"7,169.98","8,462.82","8,791.97"
Impairment charge/(reversal) for loans and other losses,686.42,793.07,607.47
Net operating income,"6,483.55","7,669.75","8,184.50"
Personnel expenses,"2,156.19","2,368.24","2,685.02"
Other operating expenses,962.77,932.14,827.86
Depreciation & Amortization,196.95,202.64,405.07
Operating Profit,"3,167.65","4,166.73","4,266.55"
Non-operating income,0.21,0.54,8.61
Non-operating expense,39.22,0.02,16.69
Profit before income tax,"3,128.64","4,167.24","4,258.47"
Income Tax Expense,,,
Current Tax,997.72,"1,327.72","1,396.82"
Deferred Tax,(12.69),(15.30),(40.81)
Profit for the Period,"2,143.61","2,854.83","2,902.46"
