0,1,2,3,4,5
,"(ii) Special Refinance Export, Small business run by women, deprived community, differently able person and sectors affected by the natural calamities.",1%,For Covid-19 affected sector: Min. 6 months to max. 1 year.,Cannot charge more than 3%,per client is 200 million for client specific refinance facilities provided via BFIs. iii. Max. 10 % of total refinance facilities are provided to MFIs.
,(iii) General Refinance Refinances not included in (i) and (ii) and all other refinances which this bank asks to categorize into.,3%,,Cannot charge more than 5%,
3.,Bank Rate,5%,,,
4.,"SLF Rate (For A, B & C)",Bank rate (5%),Max. 5 days,"For Merger, 30 days",Up to 90% Against Govt. T-Bills and Govt. Bonds
5.,Lender of Last Resort,Bank rate (5%),Max. 6 months,,Against deposit at NRB for CRR Purpose / Govt. Securities and Pass Loan
6,Net Liquid asset to Total Deposit Ratio,20%,,,
7.,Repo & Reverse Repos,As determined by Open Market Operation Committee.,,,
8.,"CRR ""IDB"" Class ""A"" class ""B"" class ""C"" class",1% 3% 3% 3%,,,
9.,"SLR ""IDB"" Class ""A"" class ""B"" class (taking call and current deposit) ""C"" class (taking call and current deposit)",12% 10% 8%   7%,,,
10.,"Deprived Sector ""A"" class, ""B"" class ""C"" class",5%,,,
11.,"Priority Sector lending ""A"" class in: Agriculture, MSME, Energy & Tourism. ""B"" class in priority  ""C"" class in priority","40% (Deadline BS 2080 Asar for Agriculture, 2081 Asar for others.) in Productive sector: min. 11%  in Agriculture, 11% in MSME, 6% in Energy.",,,
