0,1,2,3,4,5,6
S.N.  Name of Banks,,2021,2022,2023,2024,2025
1,Nepal Bank Limited,252,266,285,290,292
2,Rastriya Banijya Bank Limited,278,293,333,354,370
3,NABIL Bank Limited,153,247,284,288,289
4,Standard Chartered Bank Nepal Limited,15,15,15,15,17
5,Himalayan Bank Limited,77,81,211,197,197
6,Nepal SBI Bank Limited,108,113,116,123,124
7,Everest Bank Limited,107,122,131,133,138
8,NIC Asia Bank Limited,427,462,472,479,476
9,Machhapuchchhre Bank Limited,168,174,179,178,177
10,Kumari Bank Limited,203,212,350,353,353
11,Siddhartha Bank Limited,189,190,197,197,197
12,Agricultural Development Bank Limited,282,286,287,287,297
13,Global IME Bank Limited,321,341,423,424,422
14,Citizens Bank International Limited,190,179,191,200,203
15,Prime Commercial Bank Limited,186,181,190,194,194
16,NMB Bank Limited,190,212,213,212,211
17,Sanima Bank Limited,103,127,132,133,134
18,Prabhu Bank Limited,276,280,368,377,382
19,Nepal Investment Mega Bank Limited,-,-,358,338,341
20,Laxmi Sunrise Bank Limited,-,-,314,284,285
,Total,"4,753","5,009","5,049","5,056","5,099"
