0,1,2,3
4. Nabil Bank Limited,Amount (Rs. in Millions),,
Statement of Financial Position,2021,2022,2023
,,,
Assets,,,
Cash and cash equivalents,"7,285.64","11,051.54","6,774.26"
Due from Nepal Rastra Bank,"8,024.17","13,037.24","25,652.42"
Placement with Bank and Financial Institutions,"9,865.21","8,870.90","13,424.39"
Derivative financial instruments,"13,615.33","1,373.61","3,833.46"
Other trading assets,-,29.73,-
Loans and advances to BFIs,"8,601.57","10,366.94","8,283.06"
Loans and advances to customers,"198,021.42","300,205.65","331,123.17"
Investment securities,"39,889.09","62,455.04","76,452.98"
Current tax assets,307.01,606.48,-
Investment in subsidiaries,78.00,298.00,"1,798.00"
Investment in associates,80.00,80.00,80.00
Investment property,8.75,"1,318.60","1,827.07"
Property and equipment,"1,692.63","3,536.10","3,871.27"
Goodwill and Intangible assets,62.65,291.72,285.46
Deferred tax assets,-,-,-
Other assets,"3,534.74","6,296.55","7,798.00"
Total Assets,"291,066.22","419,818.10","481,203.55"
,,,
Liabilities,"257,208.12","366,836.35","424,290.87"
Due to Bank and Financial Institutions,"4,502.71","3,353.61","6,277.71"
Due to Nepal Rastra Bank,"5,450.39","4,657.44",-
Derivative Financial Instrument,"13,634.23","1,390.74","3,812.95"
Deposits from customers,"223,474.47","326,222.31","396,843.50"
Borrowings,-,"10,720.73",-
