0,1,2,3
Particulars,2017-18,2018-19,2019-20
Loan and advances to B/FIs,"3,685.22","4,772.75","4,998.08"
Loans and advances to customers,"82,474.99","92,697.32","101,653.35"
Investment securities,"11,654.17","16,466.20","18,241.67"
Current tax assets,154.31,224.95,370.48
Investment in subsidiaries,-,200.00,200.00
Investment in associates,195.79,195.79,195.79
Investment property,2.30,109.13,379.80
Property and equipment,"2,222.68","2,391.83","2,411.79"
Goodwill and Intangible assets,85.85,117.68,151.10
Deferred tax assets,-,-,-
Other assets,"1,063.41","1,075.02","1,125.82"
TOTAL ASSETS,"116,462.30","133,151.14","155,824.62"
Due to Bank and Financial Institutions,754.25,"3,702.92","6,595.87"
Due to Nepal Rastra Bank,-,560.81,155.74
Derivative financial instruments,9.11,6.54,75.54
Deposits from customers,"98,988.79","109,387.06","125,264.38"
Borrowing,-,-,-
Current Tax Liabilities,-,-,-
Provisions,2.30,-,-
Deferred tax liabilities,131.26,98.84,95.97
Other liabilities,"1,814.33","2,777.02","3,528.17"
Debt securities issued,623.36,623.15,"2,563.66"
Subordinated Liabilities,-,-,-
Equity,"14,138.90","15,994.80","17,545.30"
Share capital,"8,114.53","8,520.26","9,372.28"
Share premium,-,-,-
Retained earnings,"1,500.41","2,171.15","2,503.06"
Reserves,"4,523.96","5,303.39","5,669.96"
TOTAL EQUITY AND LIABILITIES,"116,462.30","133,151.14","155,824.62"
Interest Income,"9,724.87","11,625.42","12,113.63"
Interest Expenses,"5,403.05","6,594.07","7,356.99"
Net Interest Income,"4,321.82","5,031.35","4,756.65"
Fee and commission income,772.04,821.31,748.67
Fee and commission expense,64.24,65.07,61.91
Net Fee and commission income,707.80,756.24,686.76
"Net Interest, Fee and commission income","5,029.62","5,787.58","5,443.41"
Net trading income,718.90,718.16,764.97
Other operating income,104.85,175.12,146.30
