0,1,2,3
Particulars,2017-18,2018-19,2019-20
Net Interest Income,"6,387.75","6,189.54","5,618.95"
Fee and commission income,983.02,"1,039.34",788.51
Fee and commission expense,76.76,45.36,43.96
Net Fee and commission income,906.26,993.98,744.56
"Net Interest, Fee and commission income","7,294.01","7,183.52","6,363.50"
Net trading income,207.28,342.41,412.56
Other operating income,18.89,210.78,369.98
Total operating income,"7,520.18","7,736.72","7,146.05"
Impairment charge/(reversal) for loans and other losses,(86.34),477.10,545.16
Net operating income,"7,606.52","7,259.61","6,600.89"
Personnel expenses,"2,148.83","2,077.40","2,199.64"
Other operating expenses,511.32,549.79,683.74
Depreciation &Amortization,97.59,122.37,151.07
Operating Profit,"4,848.78","4,510.05","3,566.43"
Non-operating income,81.89,101.61,275.81
Non-operating expense,0.20,-,-
Profit before income tax,"4,930.48","4,611.66","3,842.24"
Income Tax Expense,,,"1,285.80"
Current Tax,"1,479.49","1,080.43",877.61
Deferred Tax,235.30,934.49,408.20
Profit/Loss for the period,"3,215.68","2,596.74","2,556.44"
