0,1,2,3,4,5,6
S. N.,Bank,Total Outstanding Loan Prior to 6 Months (Rs. in million),Minimum Required Deprived Sector Lending (5%),Actual Lending in Deprived Sector (Rs. in million),Actual Lending in Deprived Sector (%),Excess/(Shortfall) (%)
1,Nepal Bank Ltd.,"178,788","8,939","12,590",7.04,2.04
2,Rastriya Banijya Bank Ltd.,"235,530","11,776","15,567",6.61,1.61
3,Nabil Bank Ltd.,"324,840","16,242","16,632",5.12,0.12
4,Nepal Investment Bank Ltd.,"331,120","16,556","16,822",5.08,0.08
5,Standard Chartered Bank Ltd.,"95,788","4,789","4,970",5.19,0.19
6,Himalayan Bank Ltd.,"250,437","12,522","13,634",5.44,0.44
7,Nepal SBI Bank Ltd.,"125,069","6,253","7,001",5.60,0.60
8,Everest Bank Ltd.,"164,453","8,223","8,717",5.30,0.30
9,NIC Asia Bank Ltd,"266,667","13,333","13,664",5.12,0.12
10,Machhapuchhre Bank Ltd.,"133,360","6,668","6,731",5.05,0.05
11,Kumari Bank Ltd.,"282,648","14,132","14,423",5.10,0.10
12,Laxmi Bank Ltd.,"256,794","12,840","17,193",6.70,1.70
13,Siddharth Bank Ltd.,"184,757","9,238","10,047",5.44,0.44
14,Agriculture Development Bank Ltd.,"179,727","8,986","31,523",17.54,12.54
15,Global IME Bank Ltd.,"379,882","18,994","20,755",5.46,0.46
16,Citizens Bank International Ltd.,"142,540","7,127","15,826",11.10,6.10
17,Prime Commercial Bank Ltd.,"156,850","7,843","8,800",5.61,0.61
18,NMB Bank Ltd.,"190,313","9,516","10,615",5.58,0.58
