0,1,2,3
Net Interest Income,5703.57,6387.75,"6,189.54"
Fee and commission income,723.13,983.02,"1,039.34"
Fee and commission expense,68.92,76.76,45.36
Net Fee and commission income,654.21,906.26,993.98
"Net Interest, Fee and commission income",6357.78,7294.01,"7,183.52"
Net trading income,144.78,207.28,342.41
Other operating income,-340.37,18.89,210.78
Total operating income,6162.18,7520.18,"7,736.72"
Impairment charge/(reversal) for loans and other losses,359.06,-86.34,477.10
Net operating income,5803.12,7606.52,"7,259.61"
Personnel expenses,2167.75,2148.83,"2,077.40"
Other operating expenses,615.22,511.32,549.79
Depreciation & Amortisation,92.41,97.59,122.37
Operating Profit,2927.75,4848.78,"4,510.05"
Non operating income,341.02,81.89,101.61
Non operating expense,0.39,0.20,-
Profit before income tax,3268.37,4930.48,"4,611.66"
Income Tax Expense,,,
Current Tax,1336.21,1479.49,"1,080.43"
Deferred Tax,185.04,235.30,934.49
Profit/Loss for the period,1747.12,3215.68,"2,596.74"
