0,1,2,3,4,5,6
10,Machhapuchhre Bank Ltd.,139501.07,"6,975","7,127",5.11,0.11
11,Kumari Bank Ltd.,"305,292","15,265","16,264",5.33,0.33
12,Laxmi Bank Ltd.,"276,958","13,848","14,081",5.08,0.08
13,Siddharth Bank Ltd.,"216,342","10,817","11,334",5.24,0.24
14,Agriculture Development Bank Ltd.,"199,759","9,988","17,333",8.68,3.68
15,Global IME Bank Ltd.,"430,502","21,525","22,510",5.23,0.23
16,Citizens Bank International Ltd.,166730.75,"8,337","11,983",7.19,2.19
17,Prime Commercial Bank Ltd.,"211,703","10,585","11,436",5.40,0.40
18,NMB Bank Ltd.,"229,479","11,474","12,120",5.28,0.28
19,Prabhu Bank Ltd.,"231,202","11,560","12,138",5.25,0.25
20,Sanima Bank Ltd.,"174,516","8,726","9,197",5.27,0.27
,Total,"4,808,633","240,432","260,310",5.41,0.41
