0,1,2,3,4,5
9. Everest Bank Limited,Amt. in Rs. Million,,,,
Statement of Financial Position,2021-22,2022-23,2023-24,,
ASSETS,,,,,
Cash and cash equivalent,"14,024.36","15,378.25","8,370.60",,
Due from Nepal Rastra Bank,"11,105.03","13,933.79","40,768.26",,
Placement with Bank and Financial Institutions,"2,875.50","5,980.98","6,482.03",,
Derivative financial instruments,15.77,-,"1,664.09",,
Other trading assets,-,-,-,,
Loan and advances to B/FIs,"9,573.31","8,076.88","7,652.66",,
Loans and advances to customers,"145,480.53","159,479.29","178,215.40",,
Investment securities,"35,674.34","40,201.73","44,143.62",,
Current tax assets,548.67,520.85,-,,
Investment in subsidiaries,-,-,836.28,,
Investment in associates,713.66,727.81,517.75,,
Investment property,2.20,-,522.29,,
Property and equipment,"3,635.57","3,619.40","3,891.47",,
Goodwill and Intangible assets,23.08,24.95,25.38,,
Deferred tax assets,111.96,-,-,,
Other assets,"1,597.35","2,146.56","2,653.86",,
TOTAL ASSETS,"225,381.32","250,090.49","295,743.70",,
Liabilities,"202,586.77","224,718.82","267,938.92",,
Due to Bank and Financial Institutions,733.07,"1,219.27","1,071.80",,
Due to Nepal Rastra Bank,"2,919.26",23.77,-,,
Derivative financial instruments,-,47.60,"1,630.41",,
Deposits from customers,"172,739.18","198,007.81","232,316.60",,
Borrowing,"2,556.00","2,664.22","2,349.20",,
Current Tax Liabilities,-,-,-,,
Provisions,-,-,-,,
Deferred tax liabilities,-,173.21,125.81,,
Other liabilities,"22,313.62","18,979.34","26,841.48",,
Debt securities issued,"1,325.63","3,603.61","3,603.61",,
Subordinated Liabilities,-,-,-,,
Equity,"22,794.55","25,371.67","27,804.78",,
Share capital,"9,467.34","10,698.09","11,767.90",,
Share premium,238.47,238.47,238.47,,
Retained earnings,"3,877.12","4,110.49","3,302.37",,
Reserves,"9,211.63","10,324.62","12,496.04",,
Total Liabilities and Equity,"225,381.32","250,090.49","27,804.78",,
,,,,,
STATEMENT OF PROFIT OR LOSS,2021-22,2022-23,2023-24,,
Interest Income,"15,467.18","22,400.61","22,547.39",,
Interest expense,"10,285.76","14,988.17","14,899.06",,
Net Interest Income,"5,181.42","7,412.44","7,648.33",,
Fee and commission income,"1,294.96","1,347.52","1,638.32",,
Fee and commission expense,263.07,271.93,295.24,,
Net Fee and commission income,"1,031.88","1,075.59","1,343.08",,
"Net Interest, Fee and commission income","6,213.30","8,488.03","8,991.40",,
Net trading income,299.49,182.78,353.74,,
Other operating income,294.29,94.19,160.34,,
Total operating income,"6,807.08","8,765.01","9,505.48",,
